年度,利用人員 の合計
H1,1102143
H2,1278253
H3,1251438
H4,1268348
H5,1201480
H6,1159899
H7,1139152
H8,1159190
H9,1083803
H10,1032682
H11,1024025
H12,1018009
H13,1025449
H14,997098
H15,1007141
H16,969384
H17,999759
H18,1018219
H19,992404
H20,990267
H21,961768
H22,921921
H23,883473
H24,913249
H25,922089
H26,946730
H27,973203
H28,989663
H29,984107
H30,998828
R1,982306
R2,876303
R3,1037142
R4,1071854
