年度,収入額（千円） の合計
H16,7959
H17,7992
H18,7744
H19,7446
H20,6981
H21,6557
H22,5894
H23,5432
H24,5226
H25,4895
H26,4794
H27,3936
H28,4126
H29,4006
H30,4178
R1,4146
R2,4038
R3,4115
R4,4254
R5（見込）,4000
R6（当初）,4275
