年度,収入額（百万） の合計
H1,104660
H2,110863
H3,114019
H4,116513
H5,117765
H6,119674
H7,121656
H8,124112
H9,126466
H10,126924
H11,126909
H12,127986
H13,125299
H14,122712
H15,120488
H16,118381
H17,122518
H18,121342
H19,121032
H20,118565
H21,116149
H22,113101
H23,111449
H24,109953
H25,108651
H26,106787
H27,105603
H28,104648
H29,104604
H30,104908
R1,108229
R2,110773
R3,110766
R4,114898
R5（見込）,115594
R6（当初）,116017
