事務所,種類,評価額（千円）
千代田,事務所・店舗・百貨店,2335169429
千代田,住宅・アパート,351035690
千代田,病院・ホテル,115234365
千代田,工場・倉庫・市場,20492427
千代田,その他,2240645
中央,事務所・店舗・百貨店,1586335469
中央,住宅・アパート,687485319
中央,病院・ホテル,105071779
中央,工場・倉庫・市場,22855920
中央,その他,87166
港,事務所・店舗・百貨店,2508367029
港,住宅・アパート,1278178966
港,病院・ホテル,215230788
港,工場・倉庫・市場,39014062
港,その他,8368349
新宿,事務所・店舗・百貨店,965335999
新宿,住宅・アパート,905732609
新宿,病院・ホテル,96699815
新宿,工場・倉庫・市場,18877586
新宿,その他,3129282
文京,事務所・店舗・百貨店,255130049
文京,住宅・アパート,534940760
文京,病院・ホテル,31803945
文京,工場・倉庫・市場,10527536
文京,その他,11743851
台東,事務所・店舗・百貨店,315871204
台東,住宅・アパート,567467582
台東,病院・ホテル,85574775
台東,工場・倉庫・市場,12587998
台東,その他,398534
墨田,事務所・店舗・百貨店,218831007
墨田,住宅・アパート,587722517
墨田,病院・ホテル,22794782
墨田,工場・倉庫・市場,26423354
墨田,その他,5228218
江東,事務所・店舗・百貨店,760111421
江東,住宅・アパート,1140993703
江東,病院・ホテル,88411420
江東,工場・倉庫・市場,322705724
江東,その他,2405151
品川,事務所・店舗・百貨店,699966344
品川,住宅・アパート,848793878
品川,病院・ホテル,50045551
品川,工場・倉庫・市場,76703309
品川,その他,78762
目黒,事務所・店舗・百貨店,144408216
目黒,住宅・アパート,517502650
目黒,病院・ホテル,32761319
目黒,工場・倉庫・市場,7595384
目黒,その他,1616833
大田,事務所・店舗・百貨店,430341973
大田,住宅・アパート,1092655461
大田,病院・ホテル,35615845
大田,工場・倉庫・市場,292534494
大田,その他,3335406
世田谷,事務所・店舗・百貨店,242905087
世田谷,住宅・アパート,1361189562
世田谷,病院・ホテル,13615443
世田谷,工場・倉庫・市場,30739437
世田谷,その他,339450
渋谷,事務所・店舗・百貨店,949999929
渋谷,住宅・アパート,781791292
渋谷,病院・ホテル,50812351
渋谷,工場・倉庫・市場,12637024
渋谷,その他,9378632
中野,事務所・店舗・百貨店,130783905
中野,住宅・アパート,491013117
中野,病院・ホテル,12721906
中野,工場・倉庫・市場,3607801
中野,その他,119093
杉並,事務所・店舗・百貨店,97134518
杉並,住宅・アパート,668779512
杉並,病院・ホテル,17076301
杉並,工場・倉庫・市場,13139380
杉並,その他,2472778
豊島,事務所・店舗・百貨店,343297531
豊島,住宅・アパート,548928617
豊島,病院・ホテル,41490532
豊島,工場・倉庫・市場,9002930
豊島,その他,4283739
北,事務所・店舗・百貨店,100641229
北,住宅・アパート,521687454
北,病院・ホテル,16311735
北,工場・倉庫・市場,38718921
北,その他,451649
荒川,事務所・店舗・百貨店,55374407
荒川,住宅・アパート,365938825
荒川,病院・ホテル,13053369
荒川,工場・倉庫・市場,16029813
荒川,その他,60337
板橋,事務所・店舗・百貨店,107071299
板橋,住宅・アパート,831079962
板橋,病院・ホテル,25228197
板橋,工場・倉庫・市場,57469706
板橋,その他,17728
練馬,事務所・店舗・百貨店,103685522
練馬,住宅・アパート,839664033
練馬,病院・ホテル,17962338
練馬,工場・倉庫・市場,15808873
練馬,その他,1410047
足立,事務所・店舗・百貨店,140179704
足立,住宅・アパート,783769109
足立,病院・ホテル,39272447
足立,工場・倉庫・市場,55366805
足立,その他,294315
葛飾,事務所・店舗・百貨店,75719372
葛飾,住宅・アパート,492635870
葛飾,病院・ホテル,15076373
葛飾,工場・倉庫・市場,19528063
葛飾,その他,15916
江戸川,事務所・店舗・百貨店,119853274
江戸川,住宅・アパート,798995468
江戸川,病院・ホテル,22536029
江戸川,工場・倉庫・市場,49168502
江戸川,その他,0
