事務所,種類,評価額（千円）
千代田,宅地,16081784232
千代田,田,0
千代田,畑,0
千代田,山林,0
千代田,その他,894895399
中央,宅地,11264289693
中央,田,0
中央,畑,0
中央,山林,0
中央,その他,3437647
港,宅地,17448908863
港,田,0
港,畑,0
港,山林,0
港,その他,591123438
新宿,宅地,9596381832
新宿,田,0
新宿,畑,0
新宿,山林,0
新宿,その他,569989280
文京,宅地,3563377921
文京,田,0
文京,畑,0
文京,山林,0
文京,その他,18001655
台東,宅地,2690916327
台東,田,0
台東,畑,0
台東,山林,0
台東,その他,158386808
墨田,宅地,2098977890
墨田,田,0
墨田,畑,0
墨田,山林,0
墨田,その他,47239668
江東,宅地,4795332577
江東,田,0
江東,畑,0
江東,山林,0
江東,その他,77103202
品川,宅地,6031696640
品川,田,0
品川,畑,0
品川,山林,0
品川,その他,372934940
目黒,宅地,4845418531
目黒,田,0
目黒,畑,1339774
目黒,山林,1248607
目黒,その他,39135032
大田,宅地,7647682997
大田,田,0
大田,畑,1725668
大田,山林,1385946
大田,その他,109908531
世田谷,宅地,13448184395
世田谷,田,0
世田谷,畑,24571486
世田谷,山林,6406108
世田谷,その他,134321595
渋谷,宅地,10286027192
渋谷,田,0
渋谷,畑,0
渋谷,山林,0
渋谷,その他,522080276
中野,宅地,3722524990
中野,田,0
中野,畑,2068853
中野,山林,247003
中野,その他,46556981
杉並,宅地,7449280169
杉並,田,0
杉並,畑,9620836
杉並,山林,2374271
杉並,その他,72435072
豊島,宅地,3902888794
豊島,田,0
豊島,畑,0
豊島,山林,0
豊島,その他,247263948
北,宅地,2870939893
北,田,0
北,畑,666
北,山林,314862
北,その他,131560842
荒川,宅地,1710108524
荒川,田,0
荒川,畑,0
荒川,山林,0
荒川,その他,72754293
板橋,宅地,4644333147
板橋,田,0
板橋,畑,9193282
板橋,山林,1450472
板橋,その他,28504478
練馬,宅地,7031921870
練馬,田,0
練馬,畑,39363014
練馬,山林,3173630
練馬,その他,58147752
足立,宅地,5116504612
足立,田,823
足立,畑,21458577
足立,山林,13160
足立,その他,79260743
葛飾,宅地,3177041193
葛飾,田,0
葛飾,畑,7131302
葛飾,山林,0
葛飾,その他,48178198
江戸川,宅地,5154024762
江戸川,田,92
江戸川,畑,15566283
江戸川,山林,0
江戸川,その他,39021626
