年度,調定額（百万）,内訳
H1,404323,総額
H1,0,株式等譲渡所得割
H1,0,配当割
H1,3218,均等割
H1,401105,所得割
H1,404323,均・所
H2,436132,総額
H2,0,株式等譲渡所得割
H2,0,配当割
H2,3262,均等割
H2,432870,所得割
H2,436132,均・所
H3,482995,総額
H3,0,株式等譲渡所得割
H3,0,配当割
H3,3363,均等割
H3,479632,所得割
H3,482995,均・所
H4,498727,総額
H4,0,株式等譲渡所得割
H4,0,配当割
H4,3421,均等割
H4,495306,所得割
H4,498727,均・所
H5,468288,総額
H5,0,株式等譲渡所得割
H5,0,配当割
H5,3471,均等割
H5,464817,所得割
H5,468288,均・所
H6,395228,総額
H6,0,株式等譲渡所得割
H6,0,配当割
H6,3427,均等割
H6,391802,所得割
H6,395228,均・所
H7,413733,総額
H7,0,株式等譲渡所得割
H7,0,配当割
H7,3509,均等割
H7,410224,所得割
H7,413733,均・所
H8,396340,総額
H8,0,株式等譲渡所得割
H8,0,配当割
H8,4816,均等割
H8,391524,所得割
H8,396340,均・所
H9,405238,総額
H9,0,株式等譲渡所得割
H9,0,配当割
H9,5054,均等割
H9,400185,所得割
H9,405238,均・所
H10,362291,総額
H10,0,株式等譲渡所得割
H10,0,配当割
H10,5013,均等割
H10,357278,所得割
H10,362291,均・所
H11,360767,総額
H11,0,株式等譲渡所得割
H11,0,配当割
H11,5080,均等割
H11,355687,所得割
H11,360767,均・所
H12,355204,総額
H12,0,株式等譲渡所得割
H12,0,配当割
H12,5171,均等割
H12,350033,所得割
H12,355204,均・所
H13,361434,総額
H13,0,株式等譲渡所得割
H13,0,配当割
H13,5072,均等割
H13,356362,所得割
H13,361434,均・所
H14,361987,総額
H14,0,株式等譲渡所得割
H14,0,配当割
H14,5128,均等割
H14,356859,所得割
H14,361987,均・所
H15,355672,総額
H15,1,株式等譲渡所得割
H15,406,配当割
H15,5156,均等割
H15,350108,所得割
H15,355265,均・所
H16,367293,総額
H16,8454,株式等譲渡所得割
H16,8029,配当割
H16,5174,均等割
H16,345637,所得割
H16,350811,均・所
H17,403107,総額
H17,19980,株式等譲渡所得割
H17,14108,配当割
H17,5606,均等割
H17,363413,所得割
H17,369019,均・所
H18,451143,総額
H18,17079,株式等譲渡所得割
H18,19258,配当割
H18,6249,均等割
H18,408557,所得割
H18,414805,均・所
H19,794908,総額
H19,16095,株式等譲渡所得割
H19,22436,配当割
H19,6480,均等割
H19,749896,所得割
H19,756376,均・所
H20,831636,総額
H20,3884,株式等譲渡所得割
H20,10822,配当割
H20,6708,均等割
H20,810221,所得割
H20,816929,均・所
H21,819258,総額
H21,3831,株式等譲渡所得割
H21,8963,配当割
H21,6788,均等割
H21,799677,所得割
H21,806464,均・所
H22,761102,総額
H22,3454,株式等譲渡所得割
H22,11303,配当割
H22,6725,均等割
H22,739620,所得割
H22,746345,均・所
H23,750264,総額
H23,2755,株式等譲渡所得割
H23,12566,配当割
H23,6689,均等割
H23,728255,所得割
H23,734944,均・所
H24,765680,総額
H24,3468,株式等譲渡所得割
H24,13616,配当割
H24,6711,均等割
H24,741885,所得割
H24,748596,均・所
H25,823049,総額
H25,40197,株式等譲渡所得割
H25,23294,配当割
H25,6796,均等割
H25,752761,所得割
H25,759557,均・所
H26,863148,総額
H26,26588,株式等譲渡所得割
H26,43536,配当割
H26,9999,均等割
H26,783025,所得割
H26,793024,均・所
H27,879056,総額
H27,35416,株式等譲渡所得割
H27,35773,配当割
H27,10453,均等割
H27,797414,所得割
H27,807867,均・所
H28,877088,総額
H28,15818,株式等譲渡所得割
H28,27178,配当割
H28,10692,均等割
H28,823400,所得割
H28,834092,均・所
H29,920485,総額
H29,36967,株式等譲渡所得割
H29,36719,配当割
H29,10892,均等割
H29,835907,所得割
H29,846799,均・所
H30,929921,総額
H30,25950,株式等譲渡所得割
H30,31841,配当割
H30,11162,均等割
H30,860968,所得割
H30,872130,均・所
R1,960907,総額
R1,22214,株式等譲渡所得割
R1,35884,配当割
R1,11379,均等割
R1,891430,所得割
R1,902810,均・所
R2,991735,総額
R2,39094,株式等譲渡所得割
R2,33477,配当割
R2,11595,均等割
R2,907570,所得割
R2,919165,均・所
R3,1021987,総額
R3,57105,株式等譲渡所得割
R3,46633,配当割
R3,11606,均等割
R3,906642,所得割
R3,918249,均・所
R4,1043016,総額
R4,35183,株式等譲渡所得割
R4,45785,配当割
R4,11662,均等割
R4,950386,所得割
R4,962047,均・所
