収入額（百万） の合計,年度
1108,H1
1292,H2
1300,H3
1346,H4
1292,H5
1252,H6
1225,H7
1244,H8
1159,H9
1112,H10
1107,H11
1076,H12
1070,H13
1019,H14
920,H15
848,H16
830,H17
785,H18
769,H19
760,H20
712,H21
673,H22
628,H23
630,H24
622,H25
626,H26
644,H27
652,H28
632,H29
632,H30
630,R1
550,R2
639,R3
663,R4
655,R5（見込）
662,R6（当初）
