年度,収入額（百万） の合計
H1,1099426
H2,949154
H3,916749
H4,760453
H5,653200
H6,586140
H7,601970
H8,791744
H9,710542
H10,697956
H11,587970
H12,693522
H13,699022
H14,586909
H15,624993
H16,730832
H17,862183
H18,1051047
H19,1166285
H20,1068015
H21,670115
H22,687027
H23,696711
H24,775754
H25,841787
H26,915548
H27,870760
H28,848978
H29,841304
H30,953993
R1,972580
R2,651643
R3,794287
R4,792246
R5（見込）,798111
R6（当初）,784272
