年度,収入額（百万） の合計
H14,496
H15,1154
H16,1163
H17,1193
H18,1291
H19,1410
H20,1316
H21,1010
H22,1037
H23,820
H24,1070
H25,1315
H26,1624
H27,2076
H28,2217
H29,2361
H30,2667
R1,2708
R2,89
R3,251
R4,1583
R5（見込）,4399
R6（当初）,4763
