年度,収入額（千円） の合計
H1,3427
H2,3427
H3,3427
H4,3421
H5,3421
H6,3421
H7,3349
H8,3349
H9,3343
H10,3307
H11,3357
H12,3798
H13,3810
H14,3788
H15,3943
H16,3685
H17,3376
H18,3247
H19,3124
H20,2668
H21,2468
H22,2599
H23,2498
H24,2202
H25,2174
H26,2180
H27,2180
H28,2119
H29,2119
H30,2119
R1,2119
R2,2119
R3,2119
R4,2119
R5（見込）,2000
R6（当初）,2121
