収入額（百万) の合計,年度
98314,H9
296106,H10
309546,H11
302073,H12
306824,H13
287331,H14
323669,H15
344331,H16
356774,H17
352818,H18
348885,H19
330218,H20
351671,H21
351067,H22
350777,H23
351931,H24
348932,H25
422696,H26
700423,H27
632652,H28
647365,H29
552271,H30
528588,R1
644462,R2
705893,R3
748287,R4
743487,R5（見込）
752370,R6（当初）
