収入額（百万） の合計,年度
401744,H1
430948,H2
475441,H3
488508,H4
460134,H5
390752,H6
409754,H7
393408,H8
400441,H9
360006,H10
357680,H11
353207,H12
359085,H13
359394,H14
354145,H15
366155,H16
402340,H17
448538,H18
778032,H19
816107,H20
808587,H21
754178,H22
746366,H23
765485,H24
824218,H25
862434,H26
881941,H27
878759,H28
921252,H29
929786,H30
958853,R1
991246,R2
1022288,R3
1040201,R4
1093229,R5（見込）
1091131,R6（当初）
