年度,収入額（百万） の合計
H1,319806
H2,478242
H3,459904
H4,308657
H5,271581
H6,239183
H7,219950
H8,123165
H9,103785
H10,93064
H11,91422
H12,169891
H13,153579
H14,70811
H15,52381
H16,47676
H17,41346
H18,47791
H19,63178
H20,57109
H21,45684
H22,41678
H23,37515
H24,37692
H25,42171
H26,43977
H27,36334
H28,8123
H29,9083
H30,9619
R1,7002
R2,6897
R3,6421
R4,8884
R5（見込）,10505
R6（当初）,9307
