事務所,種類,評価額（千円）
千代田,構築物,558799373
千代田,機械及び装置,146777754
千代田,船舶,2035612
千代田,航空機,41522
千代田,車両及び運搬具,3941728
千代田,工具器具及び備品,540548381
中央,構築物,347530304
中央,機械及び装置,83598051
中央,船舶,6408667
中央,航空機,84271
中央,車両及び運搬具,325140
中央,工具器具及び備品,197897524
港,構築物,630699359
港,機械及び装置,229775363
港,船舶,6060962
港,航空機,6665
港,車両及び運搬具,8462854
港,工具器具及び備品,376666562
新宿,構築物,242206301
新宿,機械及び装置,66674689
新宿,船舶,8813
新宿,航空機,0
新宿,車両及び運搬具,494163
新宿,工具器具及び備品,144276277
文京,構築物,55194811
文京,機械及び装置,25584795
文京,船舶,224594
文京,航空機,49731
文京,車両及び運搬具,73495
文京,工具器具及び備品,73430569
台東,構築物,65423178
台東,機械及び装置,17665695
台東,船舶,239110
台東,航空機,0
台東,車両及び運搬具,178487
台東,工具器具及び備品,45398168
墨田,構築物,76928596
墨田,機械及び装置,49870075
墨田,船舶,38779
墨田,航空機,0
墨田,車両及び運搬具,99363
墨田,工具器具及び備品,45507140
江東,構築物,278674572
江東,機械及び装置,230982216
江東,船舶,8600899
江東,航空機,8436180
江東,車両及び運搬具,14845400
江東,工具器具及び備品,220382732
品川,構築物,171021840
品川,機械及び装置,68972743
品川,船舶,514141
品川,航空機,89471
品川,車両及び運搬具,4834248
品川,工具器具及び備品,140725193
目黒,構築物,55360665
目黒,機械及び装置,12240375
目黒,船舶,8494
目黒,航空機,1794
目黒,車両及び運搬具,26803
目黒,工具器具及び備品,27633295
大田,構築物,203248988
大田,機械及び装置,151730746
大田,船舶,1401087
大田,航空機,849164
大田,車両及び運搬具,6949658
大田,工具器具及び備品,136553808
世田谷,構築物,111844064
世田谷,機械及び装置,34210849
世田谷,船舶,11538
世田谷,航空機,13
世田谷,車両及び運搬具,96735
世田谷,工具器具及び備品,56976321
渋谷,構築物,314804878
渋谷,機械及び装置,120138854
渋谷,船舶,133144
渋谷,航空機,1351
渋谷,車両及び運搬具,222854
渋谷,工具器具及び備品,146881189
中野,構築物,34551810
中野,機械及び装置,12628399
中野,船舶,0
中野,航空機,0
中野,車両及び運搬具,726101
中野,工具器具及び備品,25081595
杉並,構築物,46773073
杉並,機械及び装置,12487905
杉並,船舶,5330
杉並,航空機,0
杉並,車両及び運搬具,98365
杉並,工具器具及び備品,29271970
豊島,構築物,120771066
豊島,機械及び装置,34576005
豊島,船舶,8150
豊島,航空機,564
豊島,車両及び運搬具,126566
豊島,工具器具及び備品,54925544
北,構築物,47421005
北,機械及び装置,31803310
北,船舶,3399
北,航空機,0
北,車両及び運搬具,317977
北,工具器具及び備品,45939028
荒川,構築物,26363191
荒川,機械及び装置,11404431
荒川,船舶,1548
荒川,航空機,0
荒川,車両及び運搬具,127785
荒川,工具器具及び備品,17091300
板橋,構築物,54709311
板橋,機械及び装置,42896371
板橋,船舶,1496
板橋,航空機,10964
板橋,車両及び運搬具,325581
板橋,工具器具及び備品,48751020
練馬,構築物,57209697
練馬,機械及び装置,23396759
練馬,船舶,6653
練馬,航空機,1435
練馬,車両及び運搬具,675311
練馬,工具器具及び備品,33685491
足立,構築物,63047649
足立,機械及び装置,46008358
足立,船舶,165233
足立,航空機,0
足立,車両及び運搬具,427668
足立,工具器具及び備品,41333019
葛飾,構築物,33756083
葛飾,機械及び装置,18716263
葛飾,船舶,8061
葛飾,航空機,0
葛飾,車両及び運搬具,301777
葛飾,工具器具及び備品,24990333
江戸川,構築物,63618701
江戸川,機械及び装置,41436057
江戸川,船舶,753221
江戸川,航空機,1313
江戸川,車両及び運搬具,686074
江戸川,工具器具及び備品,41446913
