年度,区分,金額（百万）
H1,収入額（土地・家屋計）,95016
H1,調定額（土地）,41024
H1,調定額（家屋）,55127
H2,収入額（土地・家屋計）,58434
H2,調定額（土地）,22522
H2,調定額（家屋）,37732
H3,収入額（土地・家屋計）,88075
H3,調定額（土地）,37391
H3,調定額（家屋）,59040
H4,収入額（土地・家屋計）,104582
H4,調定額（土地）,41841
H4,調定額（家屋）,70127
H5,収入額（土地・家屋計）,112835
H5,調定額（土地）,35522
H5,調定額（家屋）,81880
H6,収入額（土地・家屋計）,122544
H6,調定額（土地）,52137
H6,調定額（家屋）,79519
H7,収入額（土地・家屋計）,161470
H7,調定額（土地）,102050
H7,調定額（家屋）,78355
H8,収入額（土地・家屋計）,178250
H8,調定額（土地）,114881
H8,調定額（家屋）,69534
H9,収入額（土地・家屋計）,135081
H9,調定額（土地）,76180
H9,調定額（家屋）,64763
H10,収入額（土地・家屋計）,113333
H10,調定額（土地）,64868
H10,調定額（家屋）,51320
H11,収入額（土地・家屋計）,107481
H11,調定額（土地）,56881
H11,調定額（家屋）,51092
H12,収入額（土地・家屋計）,103031
H12,調定額（土地）,52629
H12,調定額（家屋）,52456
H13,収入額（土地・家屋計）,92350
H13,調定額（土地）,48159
H13,調定額（家屋）,45026
H14,収入額（土地・家屋計）,96803
H14,調定額（土地）,47057
H14,調定額（家屋）,51433
H15,収入額（土地・家屋計）,93611
H15,調定額（土地）,39558
H15,調定額（家屋）,54751
H16,収入額（土地・家屋計）,87364
H16,調定額（土地）,38582
H16,調定額（家屋）,49311
H17,収入額（土地・家屋計）,94861
H17,調定額（土地）,46669
H17,調定額（家屋）,48916
H18,収入額（土地・家屋計）,96846
H18,調定額（土地）,47243
H18,調定額（家屋）,50523
H19,収入額（土地・家屋計）,96223
H19,調定額（土地）,46682
H19,調定額（家屋）,51600
H20,収入額（土地・家屋計）,82187
H20,調定額（土地）,35273
H20,調定額（家屋）,48459
H21,収入額（土地・家屋計）,77780
H21,調定額（土地）,36996
H21,調定額（家屋）,40708
H22,収入額（土地・家屋計）,74884
H22,調定額（土地）,34164
H22,調定額（家屋）,40547
H23,収入額（土地・家屋計）,71431
H23,調定額（土地）,30771
H23,調定額（家屋）,40752
H24,収入額（土地・家屋計）,66960
H24,調定額（土地）,29175
H24,調定額（家屋）,37828
H25,収入額（土地・家屋計）,73711
H25,調定額（土地）,35145
H25,調定額（家屋）,38718
H26,収入額（土地・家屋計）,76631
H26,調定額（土地）,34151
H26,調定額（家屋）,43355
H27,収入額（土地・家屋計）,77660
H27,調定額（土地）,36352
H27,調定額（家屋）,40737
H28,収入額（土地・家屋計）,81656
H28,調定額（土地）,35917
H28,調定額（家屋）,45911
H29,収入額（土地・家屋計）,82896
H29,調定額（土地）,37291
H29,調定額（家屋）,45759
H30,収入額（土地・家屋計）,83782
H30,調定額（土地）,40966
H30,調定額（家屋）,42878
R1,収入額（土地・家屋計）,82433
R1,調定額（土地）,38783
R1,調定額（家屋）,44008
R2,収入額（土地・家屋計）,72895
R2,調定額（土地）,32681
R2,調定額（家屋）,40735
R3,収入額（土地・家屋計）,84695
R3,調定額（土地）,40357
R3,調定額（家屋）,43864
R4,収入額（土地・家屋計）,92255
R4,調定額（土地）,45666
R4,調定額（家屋）,46474
R5（見込）,収入額（土地・家屋計）,99663
R6（当初）,収入額（土地・家屋計）,97257
