,校長,副校長,教頭,教諭,養護教諭,栄養教諭,栄養士,事務,調理,警備,学童擁護,用務,合計
幼稚園,3,3,,17,,,,,,,,,23
小学校,25,25,,508,28,1,9,19,,0,,14,629
中学校,10,12,,248,8,1,10,10,,1,,10,310
計,38,40,,773,36,2,19,29,,1,,24,962
