区分,基準財政収入額[千円],基準財政需要額[千円],内訳（経常的経費）[千円],内訳（投資的経費）[千円],普通交付金（基準財政需要額－基準財政収入額）[千円]
千代田,24206939,26663197,22104753,4558444,2456258
中央,30526561,42324243,36396627,5927616,11797682
港,72265796,56793147,47724924,9068223,0
新宿,50183787,75684781,66242510,9442271,25500994
文京,32917545,48244581,41870223,6374358,15327036
台東,23566977,50231573,43440699,6790874,26664596
墨田,26856885,64277165,55852358,8424807,37420280
江東,55213215,108358236,93689622,14668614,53145021
品川,50574621,88462682,74957847,13504835,37888061
目黒,44701666,55879113,48195110,7684003,11177447
大田,82163198,149359233,129575547,19783686,67196035
世田谷,122011514,160952137,138307789,22644348,38940623
渋谷,48199684,48623297,42329923,6293374,423613
中野,36592129,70781434,62068752,8712682,34189305
杉並,68155309,105104339,91065971,14038368,36949030
豊島,35208718,62683466,54171560,8511906,27474748
北,32636190,79407781,69690852,9716929,46771591
荒川,19447123,55795021,48764702,7030319,36347898
板橋,52848947,116738249,101979691,14758558,63889302
練馬,74271416,151563526,130875349,20688177,77292110
足立,58198447,156481975,135850968,20631007,98283528
葛飾,40018322,109099781,95122106,13977675,69081459
江戸川,62163037,149688707,128045187,21643520,87525670
計,1142928026,2033197664,1758323070,274874594,905742287
