区分,,,平成24年度納税者[人],平成24年度調定額[千円],平成24年度指数,平成25年度納税者[人],平成25年度調定額[千円],平成25年度指数,平成26年度納税者[人],平成26年度調定額[千円],平成26年度指数,平成27年度納税者[人],平成27年度調定額[千円],平成27年度指数,平成28年度（当初予算）納税者[人],平成28年度（当初予算）調定額[千円],平成28年度（当初予算）指数
特別区民税,現年度課税分,普通徴収,61240,5599744,100,62158,5681040,101,62998,5916257,106,61455,5769232,103,61288,5935000,106
特別区民税,現年度課税分,給与特別徴収,77059,12503560,100,79008,12890828,103,82439,13398365,107,88200,14295455,114,89273,14745000,118
特別区民税,現年度課税分,小計,138299,18103304,100,141166,18571868,103,145437,19314622,107,149655,20064687,111,150561,20680000,114
特別区民税,過年度課税分,,1631,88613,100,1825,107104,121,1740,78016,88,1672,86306,97,,87000,98
特別区民税,滞納繰越分,,,879596,100,,774594,88,,735210,84,,649281,74,,551000,63
計,,,,19071513,100,,19453566,102,,20127848,106,,20800274,109,,21318000,112
軽自動車税,現年課税分,,,77620,100,,78338,101,,79166,102,,80940,104,,112000,144
軽自動車税,滞納繰越分,,,7529,100,,6910,92,,5884,78,,3908,52,,2000,27
特別区たばこ税,現年課税分,,,2224126,100,,2454641,110,,2388499,107,,2331024,105,,2267999,102
特別区たばこ税,滞納繰越分,,,28,100,,28,100,,14,50,,0,0,,1,4
入湯税,現年課税分,,,15035,100,,15296,102,,14678,98,,14117,94,,11999,80
入湯税,滞納繰越分,,,0,100,,0,,,0,,,0,,,1,
合計,,,,21395851,100,,22008779,103,,22616089,106,,23230263,109,,23712000,111
