区分,平成24年度,平成25年度,平成26年度,平成27年度,平成28年度（当初予算）
売渡し本数(千本）,490051,480342,463108,452246,431015
一箱当たり20本入の区税(円),92.36,105.24,105.24,105.24,105.24
一本当たり区税(円),4.62,5.26,5.26,5.26,5.26
