区分,,,平成23年度土地[㎡],平成24年度土地[㎡],平成25年度土地[㎡],平成26年度土地[㎡],平成27年度土地[㎡],平成23年度建物[㎡],平成24年度建物[㎡],平成25年度建物[㎡],平成26年度建物[㎡],平成27年度建物[㎡]
行政財産,公用財産,本庁舎,9176.79,9176.79,9176.79,9176.79,9176.79,37041.38,37041.38,37041.38,37041.38,37041.38
行政財産,公用財産,その他,4929.92,4929.92,4929.92,4929.92,4929.92,12498.85,12498.85,12308.67,12626.37,10872.59
行政財産,公共用財産,幼稚園,4730.09,5438.72,5438.72,5438.72,5438.72,3695.5,3695.5,3695.5,4278.64,4278.64
行政財産,公共用財産,小学校,180911.26,162191.42,162191.42,158937.5,159094.9,158025.35,153642.14,153642.14,150725.43,150725.43
行政財産,公共用財産,中学校,111977.57,113414.55,113414.55,113414.55,113414.55,94588.13,96224.55,96224.55,96224.55,96224.55
行政財産,公共用財産,公園・児童遊園,163607.89,163575.76,163814.55,163814.55,163819.28,5497.37,4914.41,4928.18,4957.05,4971.75
行政財産,公共用財産,その他の施設,121957.88,122122.78,127109.47,127118.66,127484.83,227257.73,231588.4,233513.13,234579.95,235775.63
行政財産,その他,,10753.37,10876.66,10646.62,10715.11,10763.37,0,0,0,0,0
行政財産,計,,608044.77,591726.6,596722.04,593545.8,594122.36,538604.31,539605.23,541353.55,540433.37,539889.97
普通財産,宅地,,18591.15,35978.31,36186.12,39646.55,39325.72,7242.79,19438.04,19277.13,19016.51,19490.35
普通財産,その他,,129723.66,129723.66,129740.88,129740.88,129740.88,0,0,56.8,56.58,56.8
普通財産,計,,148314.81,165701.97,165927,169387.43,169066.6,7242.79,19438.04,19333.93,19073.09,19547.15
合計,,,756359.58,757428.57,762649.04,762933.23,763188.96,545847.1,559043.27,560687.48,559506.46,559437.12
