区分,平成24年度台数,平成24年度指数,平成25年度台数,平成25年度指数,平成26年度台数,平成26年度指数,平成27年度台数,平成27年度指数,平成28年度（当初予算）台数,平成28年度（当初予算）指数
原付自転車,12667,100,12381,98,12036,95,11610,92,10494,83
軽自動車等,13477,100,13537,100,13608,101,13920,103,16170,120
合計,26144,100,25918,99,25644,98,25530,98,26664,102
