区分,平成23年収入額[千円],平成23年構成比[％],平成23年指数[％],平成24年収入額[千円],平成24年構成比[％],平成24年指数[％],平成25年収入額[千円],平成25年構成比[％],平成25年指数[％],平成26年収入額[千円],平成26年構成比[％],平成26年指数[％],平成27年収入額[千円],平成27年構成比[％],平成27年指数[％]
国税,219318765,79.3,100,263196378,82.3,120,245980189,80.8,112,321352659,83.3,146.5231026,,,
都税,36936283,13.4,100,36258860,11.3,98,37334768,12.3,101,42433104,11,114.8819008,40333214,64.1,109
特別区税,20184992,7.3,100,20518741,6.4,102,21181504,7,105,21899299,5.7,108.4929783,22588652,35.9,112
合計,276440040,100,100,319973979,100,116,304496461,100,110,385685062,100,139.5185234,62921866,100,
