区分,,平成23年収入額[千円],平成23年指数[％],平成24年収入額[千円],平成24年指数[％],平成25年収入額[千円],平成25年指数[％],平成26年収入額[千円],平成26年指数[％],平成27年収入額[千円],平成27年指数[％]
都民税,個人分,11759622,100,11719216,100,12035299,102,12554412,107,13071810,111
都民税,法人分,,,,,,,,,,
事業税,個人分,,,,,,,,,,
事業税,法人分,,,,,,,,,,
不動産取得税,,1180603,100,986504,84,1125857,95,2996913,254,1266566,107
自動車税,,62326,100,58252,93,51938,83,74407,119,65885,106
固定資産税,土地家屋分,16982065,100,16541748,97,16772427,99,18152436,107,17789674,105
固定資産税,償却資産分,2689213,100,2641872,98,3034270,113,4046330,150,3668669,136
固定資産税,小計,19671278,100,19183620,98,19806697,101,22198766,113,21458343,109
都市計画税,,3794442,100,3629763,96,3684122,97,3972431,105,3889452,103
軽油引取税,,0,,0,,0,,0,,,
特別土地保有税,,0,,0,,0,,0,,,
事業所税,,5031,100,9639,192,4650,92,3162,63,3136,62
その他の都税,,0,,96,,0,,0,,,
ゴルフ場利用税,,0,,0,,0,,0,,,
特別地方消費税,,0,,0,,0,,0,,,
合計,,36473302,100,35587090,98,36708563,101,41800091,115,39755192,109
