区分,,平成22年収入額(千円),平成22年指数,平成23年収入額(千円),平成23年指数,平成24年収入額(千円),平成24年指数,平成25年収入額(千円),平成25年指数,平成26年収入額(千円),平成26年指数
直接税,所得税　源泉分,54618295,100,56101577,103,74122246,136,66485779,122,75907494,139
直接税,所得税　申告分,6420085,100,6873731,107,6710710,105,7491433,117,7973936,124
直接税,法人税,64950311,100,55444287,85,81810776,126,77692481,120,103975690,160
直接税,相続・贈与税,2817619,100,3320515,118,2197490,78,3257029,116,3659330,130
直接税,小計,128806310,100,121740110,95,164841222,128,154926722,120,191516450,149
間接税,消費税･消費税及び地方消費税,86228923,100,96433005,112,96614747,112,87001067,101,128510481,149
間接税,たばこ税,12393,100,14463,117,11992,97,22600,182,32080,259
間接税,酒税,13831,100,13401,97,15408,111,13800,100,16288,118
間接税,その他,3110202,100,1117787,36,1713009,55,4016000,129,1277360,41
間接税,小計,89365349,100,97578656,109,98355156,120,91053467,102,129836209,145
合計,,218171659,100,219318765,101,263196378,121,245980189,113,321352659,147
