,,,平成24年度金額[千円],平成24年度構成比[％],平成24年度23区構成比[％],平成24年度指数,平成25年度金額[千円],平成25年度構成比[％],平成25年度23区構成比[％],平成25年度指数,平成26年度金額[千円],平成26年度構成比[％],平成26年度23区構成比[％],平成26年度指数,平成27年度金額[千円],平成27年度構成比[％],平成27年度23区構成比[％],平成27年度指数,平成28年度（同時補正を含む予算額）金額[千円],平成28年度（同時補正を含む予算額）構成比[％],平成28年度（同時補正を含む予算額）指数
歳入,特別区税,,20518741,19.3,28.3,100,21181504,20.7,28.6,103,21899299,20,27.7,107,22588652,20.2,27.6,110,22923000,20.8,112
歳入,地方譲与税,,379716,0.4,0.5,100,361702,0.4,0.4,95,344584,0.3,0.4,91,359743,0.3,0.4,95,331000,0.3,87
歳入,利子割交付金,,249306,0.2,0.4,100,322577,0.3,0.5,129,328579,0.3,0.4,132,284883,0.3,0.4,114,172000,0.2,69
歳入,配当割交付金,,126476,0.1,0.2,100,220357,0.2,0.3,174,415212,0.4,0.5,328,343694,0.3,0.4,272,836000,0.8,661
歳入,株式等譲渡所得割交付金,,32679,0,0,100,287920,0.3,0.4,881,349574,0.3,0.5,1070,339465,0.3,0.4,1039,484000,0.4,1481
歳入,地方消費税交付金,,3301627,3.1,4.1,100,3273488,3.2,4,99,3967374,3.6,4.4,120,6574485,5.9,7,199,6061000,5.5,184
歳入,自動車取得税交付金,,229891,0.2,0.3,100,223976,0.2,0.3,97,115029,0.1,0.1,50,161869,0.1,0.2,70,146000,0.1,64
歳入,地方特例交付金,,169130,0.2,0.1,100,165850,0.2,0.1,98,148663,0.1,0.1,88,159521,0.1,0.1,94,146000,0.1,86
歳入,特別区交付金,,36810967,34.5,27.8,100,37068107,36.3,28.3,101,39414338,36,27.4,107,40457214,36.1,27.3,110,38753000,35.2,105
歳入,交通安全対策特別交付金,,34575,0,0,100,33377,0,0,97,28886,0,0,84,29190,0,0,84,35000,0,101
歳入,分担金及び負担金,,991739,0.9,0.8,100,998631,1,0.9,101,1018916,0.9,0.9,103,1232490,1.1,0.9,124,1778593,1.6,179
歳入,使用料,,2256300,2.1,2.5,100,2348533,2.3,2.5,104,2388062,2.2,2.4,106,2437280,2.2,2.4,108,2425967,2.2,108
歳入,手数料,,467141,0.4,0.5,100,488838,0.5,0.5,105,488567,0.5,0.4,105,479896,0.4,0.4,103,487221,0.4,104
歳入,国庫支出金,,20351239,19.2,16.7,100,19654404,19.2,17,97,20635701,18.9,16.6,101,20996775,18.8,16.7,103,20929863,19,103
歳入,都支出金,,6265326,5.9,5.8,100,6064678,5.9,6,97,6719134,6.1,5.9,107,6792952,6.1,6.1,108,7262186,6.6,116
歳入,財産収入,,173293,0.2,0.7,100,464659,0.5,0.5,268,131095,0.1,0.6,76,155852,0.1,2,90,92005,0.1,53
歳入,寄付金,,132348,0.1,0.2,100,257316,0.3,0.2,194,362081,0.3,0.1,274,260959,0.2,0.1,197,225300,0.2,170
歳入,繰入金,,5367880,5,4.1,100,2499125,2.4,3.3,47,2285285,2.1,4.7,43,1653569,1.5,1.8,31,1064948,1,20
