年度,種別,金額,
1991,法人二税,"23,979",決算額
1991,その他税,"24,515",決算額
1991,合計,"48,494",決算額
1992,法人二税,"19,312",決算額
1992,その他税,"24,456",決算額
1992,合計,"43,768",決算額
1993,法人二税,"16,254",決算額
1993,その他税,"24,317",決算額
1993,合計,"40,572",決算額
1994,法人二税,"14,356",決算額
1994,その他税,"24,245",決算額
1994,合計,"38,601",決算額
1995,法人二税,"14,464",決算額
1995,その他税,"25,422",決算額
1995,合計,"39,887",決算額
1996,法人二税,"18,642",決算額
1996,その他税,"25,176",決算額
1996,合計,"43,817",決算額
1997,法人二税,"16,973",決算額
1997,その他税,"25,118",決算額
1997,合計,"42,091",決算額
1998,法人二税,"16,277",決算額
1998,その他税,"26,286",決算額
1998,合計,"42,563",決算額
1999,法人二税,"13,958",決算額
1999,その他税,"26,301",決算額
1999,合計,"40,259",決算額
2000,法人二税,"16,498",決算額
2000,その他税,"26,192",決算額
2000,合計,"42,690",決算額
2001,法人二税,"17,699",決算額
2001,その他税,"26,094",決算額
2001,合計,"43,793",決算額
2002,法人二税,"14,924",決算額
2002,その他税,"24,712",決算額
2002,合計,"39,636",決算額
2003,法人二税,"15,146",決算額
2003,その他税,"24,310",決算額
2003,合計,"39,455",決算額
2004,法人二税,"17,976",決算額
2004,その他税,"24,553",決算額
2004,合計,"42,529",決算額
2005,法人二税,"20,938",決算額
2005,その他税,"25,057",決算額
2005,合計,"45,996",決算額
2006,法人二税,"23,928",決算額
2006,その他税,"25,309",決算額
2006,合計,"49,236",決算額
2007,法人二税,"26,163",決算額
2007,その他税,"28,933",決算額
2007,合計,"55,095",決算額
2008,法人二税,"23,812",決算額
2008,その他税,"28,989",決算額
2008,合計,"52,801",決算額
2009,法人二税,"13,523",決算額
2009,その他税,"29,344",決算額
2009,合計,"42,867",決算額
2010,法人二税,"12,460",決算額
2010,その他税,"29,025",決算額
2010,合計,"41,485",決算額
2011,法人二税,"12,339",決算額
2011,その他税,"29,127",決算額
2011,合計,"41,466",決算額
2012,法人二税,"13,464",決算額
2012,その他税,"29,008",決算額
2012,合計,"42,471",決算額
2013,法人二税,"15,230",決算額
2013,その他税,"29,680",決算額
2013,合計,"44,910",決算額
2014,法人二税,"16,442",決算額
2014,その他税,"30,957",決算額
2014,合計,"47,399",決算額
2015,法人二税,"17,635",決算額
2015,その他税,"34,200",決算額
2015,合計,"51,836",決算額
2016,法人二税,"18,926",決算額
2016,その他税,"33,434",決算額
2016,合計,"52,360",決算額
2017,法人二税,"18,509",決算額
2017,その他税,"34,222",決算額
2017,合計,"52,730",決算額
2018,法人二税,"20,447",決算額
2018,その他税,"34,017",決算額
2018,合計,"54,464",決算額
2019,法人二税,"21,801",決算額
2019,その他税,"34,517",決算額
2019,合計,"56,318",決算額
2020,法人二税,"17,519",決算額
2020,その他税,"35,980",決算額
2020,合計,"53,498",決算額
2021,法人二税,"21,192",決算額
2021,その他税,"37,287",決算額
2021,合計,"58,479",決算額
2022,法人二税,"22,690",決算額
2022,その他税,"38,953",決算額
2022,合計,"61,644",決算額
2023,法人二税,"23,086",最終補正後予算額
2023,その他税,"40,036",最終補正後予算額
2023,合計,"63,121",最終補正後予算額
2024,法人二税,"23,016",当初予算
2024,その他税,"40,849",当初予算
2024,合計,"63,865",当初予算
,年度,区分,区分2,金額（億円）
2017,都（一般会計当初予算）,財政規模,"69,540"
2017,都（一般会計当初予算）,一般歳出,"50,642"
2017,都（一般会計当初予算）,税収,"50,911"
2017,国（一般会計当初予算）,財政規模,"974,547"
2017,国（一般会計当初予算）,一般歳出,"583,591"
2017,国（一般会計当初予算）,税収,"577,120"
2017,地方財政計画（通常収支分）,財政規模,"866,198"
2017,地方財政計画（通常収支分）,一般歳出,"706,333"
2017,地方財政計画（通常収支分）,税収,"390,663"
2018,都（一般会計当初予算）,財政規模,"70,460"
2018,都（一般会計当初予算）,一般歳出,"51,822"
2018,都（一般会計当初予算）,税収,"52,332"
2018,国（一般会計当初予算）,財政規模,"977,128"
2018,国（一般会計当初予算）,一般歳出,"588,958"
2018,国（一般会計当初予算）,税収,"590,790"
2018,地方財政計画（通常収支分）,財政規模,"868,973"
2018,地方財政計画（通常収支分）,一般歳出,"712,663"
2018,地方財政計画（通常収支分）,税収,"394,294"
2019,都（一般会計当初予算）,財政規模,"74,610"
2019,都（一般会計当初予算）,一般歳出,"55,979"
2019,都（一般会計当初予算）,税収,"55,032"
2019,国（一般会計当初予算）,財政規模,"994,291"
2019,国（一般会計当初予算）,一般歳出,"599,359"
2019,国（一般会計当初予算）,税収,"624,950"
2019,地方財政計画（通常収支分）,財政規模,"895,930"
2019,地方財政計画（通常収支分）,一般歳出,"741,159"
2019,地方財政計画（通常収支分）,税収,"401,633"
2020,都（一般会計当初予算）,財政規模,"73,540"
2020,都（一般会計当初予算）,一般歳出,"55,332"
2020,都（一般会計当初予算）,税収,"54,446"
2020,国（一般会計当初予算）,財政規模,"1,026,580"
2020,国（一般会計当初予算）,一般歳出,"634,972"
2020,国（一般会計当初予算）,税収,"635,130"
2020,地方財政計画（通常収支分）,財政規模,"907,397"
2020,地方財政計画（通常収支分）,一般歳出,"758,480"
2020,地方財政計画（通常収支分）,税収,"409,366"
2021,都（一般会計当初予算）,財政規模,"74,250"
2021,都（一般会計当初予算）,一般歳出,"56,122"
2021,都（一般会計当初予算）,税収,"50,450"
2021,国（一般会計当初予算）,財政規模,"1,066,097"
2021,国（一般会計当初予算）,一般歳出,"669,020"
2021,国（一般会計当初予算）,税収,"574,480"
2021,地方財政計画（通常収支分）,財政規模,"898,060"
2021,地方財政計画（通常収支分）,一般歳出,"754,043"
2021,地方財政計画（通常収支分）,税収,"380,802"
2022,都（一般会計当初予算）,財政規模,"78,010"
2022,都（一般会計当初予算）,一般歳出,"58,407"
2022,都（一般会計当初予算）,税収,"56,308"
2022,国（一般会計当初予算）,財政規模,"1,075,964"
2022,国（一般会計当初予算）,一般歳出,"673,746"
2022,国（一般会計当初予算）,税収,"652,350"
2022,地方財政計画（通常収支分）,財政規模,"905,918"
2022,地方財政計画（通常収支分）,一般歳出,"758,761"
2022,地方財政計画（通常収支分）,税収,"412,305"
2023,都（一般会計当初予算）,財政規模,"80,410"
2023,都（一般会計当初予算）,一般歳出,"59,354"
2023,都（一般会計当初予算）,税収,"62,010"
2023,国（一般会計当初予算）,財政規模,"1,143,812"
2023,国（一般会計当初予算）,一般歳出,"727,317"
2023,国（一般会計当初予算）,税収,"694,400"
2023,地方財政対策（通常収支分）,財政規模,"920,400"
2023,地方財政対策（通常収支分）,一般歳出,"764,800"
2023,地方財政対策（通常収支分）,税収,"428,751"
2024,都（一般会計当初予算）,財政規模,"84,530"
2024,都（一般会計当初予算）,一般歳出,"63,702"
2024,都（一般会計当初予算）,税収,"63,865"
2024,国（一般会計当初予算）,財政規模,"1,125,717"
2024,国（一般会計当初予算）,一般歳出,"677,764"
2024,国（一般会計当初予算）,税収,"696,080"
2024,地方財政計画（通常収支分）,財政規模,"936,400"
2024,地方財政計画（通常収支分）,一般歳出,"784,600"
2024,地方財政計画（通常収支分）,税収,"427,330"
.4444444,0.020780152,106.88,27,8,1501
,,,,,,,,,,,
譚ｱ莠ｬ驛ｽ縺ｮ莠ｺ蜿｣�域耳險茨ｼ雲莉､蜥�5蟷ｴ10譛�,,,,,,,,,,,
