年度,事業評価総件数,見直し再構築件数
2007,14,14
2008,34,14
2009,126,53
2010,271,140
2011,352,195
2012,377,198
2013,425,231
2014,492,265
2015,521,284
2016,536,325
2017,890,574
2018,1086,676
2019,1208,837
2020,1266,884
2021,1360,1115
2022,1368,1116
2023,1436,1207
2024,1515,1214
