年度,種別,金額（億円）,備考
1992,３シティ基金に類する基金,"6,071",決算額
1992,財政調整基金,"1,762",決算額
1992,その他基金,"1,989",決算額
1992,合計,"9,822",決算額
1993,３シティ基金に類する基金,"5,851",決算額
1993,財政調整基金,"1,821",決算額
1993,その他基金,"2,021",決算額
1993,合計,"9,693",決算額
1994,３シティ基金に類する基金,"5,073",決算額
1994,財政調整基金,"2,108",決算額
1994,その他基金,"2,039",決算額
1994,合計,"9,220",決算額
1995,３シティ基金に類する基金,"3,231",決算額
1995,財政調整基金,"1,546",決算額
1995,その他基金,"2,031",決算額
1995,合計,"6,808",決算額
1996,３シティ基金に類する基金,"2,588",決算額
1996,財政調整基金,"2,189",決算額
1996,その他基金,"1,915",決算額
1996,合計,"6,692",決算額
1997,３シティ基金に類する基金,"1,762",決算額
1997,財政調整基金,10,決算額
1997,その他基金,"1,888",決算額
1997,合計,"3,660",決算額
1998,３シティ基金に類する基金,"1,033",決算額
1998,財政調整基金,484,決算額
1998,その他基金,"1,876",決算額
1998,合計,"3,393",決算額
1999,３シティ基金に類する基金,854,決算額
1999,財政調整基金,15,決算額
1999,その他基金,"1,967",決算額
1999,合計,"2,836",決算額
2000,３シティ基金に類する基金,876,決算額
2000,財政調整基金,"1,420",決算額
2000,その他基金,"1,936",決算額
2000,合計,"4,232",決算額
2001,３シティ基金に類する基金,"1,477",決算額
2001,財政調整基金,"1,891",決算額
2001,その他基金,"2,109",決算額
2001,合計,"5,477",決算額
2002,３シティ基金に類する基金,"1,008",決算額
2002,財政調整基金,"2,060",決算額
2002,その他基金,"1,833",決算額
2002,合計,"4,901",決算額
2003,３シティ基金に類する基金,677,決算額
2003,財政調整基金,791,決算額
2003,その他基金,668,決算額
2003,合計,"2,136",決算額
2004,３シティ基金に類する基金,703,決算額
2004,財政調整基金,"2,090",決算額
2004,その他基金,517,決算額
2004,合計,"3,310",決算額
2005,３シティ基金に類する基金,"1,242",決算額
2005,財政調整基金,"3,939",決算額
2005,その他基金,492,決算額
2005,合計,"5,673",決算額
2006,３シティ基金に類する基金,"2,289",決算額
2006,財政調整基金,"4,332",決算額
2006,その他基金,542,決算額
2006,合計,"7,163",決算額
2007,３シティ基金に類する基金,"6,781",決算額
2007,財政調整基金,"5,807",決算額
2007,その他基金,908,決算額
2007,合計,"13,496",決算額
2008,３シティ基金に類する基金,"10,286",決算額
2008,財政調整基金,"5,458",決算額
2008,その他基金,"1,989",決算額
2008,合計,"17,733",決算額
2009,３シティ基金に類する基金,"8,819",決算額
2009,財政調整基金,"4,924",決算額
2009,その他基金,"3,190",決算額
2009,合計,"16,933",決算額
2010,３シティ基金に類する基金,"7,427",決算額
2010,財政調整基金,"4,696",決算額
2010,その他基金,"2,949",決算額
2010,合計,"15,072",決算額
2011,３シティ基金に類する基金,"7,045",決算額
2011,財政調整基金,"3,986",決算額
2011,その他基金,"2,643",決算額
2011,合計,"13,674",決算額
2012,３シティ基金に類する基金,"7,329",決算額
2012,財政調整基金,"4,179",決算額
2012,その他基金,"2,293",決算額
2012,合計,"13,801",決算額
2013,３シティ基金に類する基金,"8,316",決算額
2013,財政調整基金,"4,552",決算額
2013,その他基金,"2,136",決算額
2013,合計,"15,004",決算額
2014,３シティ基金に類する基金,"10,347",決算額
2014,財政調整基金,"5,663",決算額
2014,その他基金,"2,041",決算額
2014,合計,"18,051",決算額
2015,３シティ基金に類する基金,"14,372",決算額
2015,財政調整基金,"6,248",決算額
2015,その他基金,"2,053",決算額
2015,合計,"22,673",決算額
2016,３シティ基金に類する基金,"17,385",決算額
2016,財政調整基金,"6,274",決算額
2016,その他基金,"2,120",決算額
2016,合計,"25,779",決算額
2017,３シティ基金に類する基金,"18,117",決算額
2017,財政調整基金,"7,165",決算額
2017,その他基金,"2,274",決算額
2017,合計,"27,556",決算額
2018,３シティ基金に類する基金,"15,189",決算額
2018,財政調整基金,"8,428",決算額
2018,その他基金,"1,378",決算額
2018,合計,"24,995",決算額
2019,３シティ基金に類する基金,"15,556",決算額
2019,財政調整基金,"9,345",決算額
2019,その他基金,"1,366",決算額
2019,合計,"26,267",決算額
2020,３シティ基金に類する基金,"15,742",決算額
2020,財政調整基金,"5,327",決算額
2020,その他基金,"1,348",決算額
2020,合計,"22,417",決算額
2021,３シティ基金に類する基金,"13,273",決算額
2021,財政調整基金,"7,272",決算額
2021,その他基金,"1,326",決算額
2021,合計,"21,872",決算額
2022,３シティ基金に類する基金,"14,500",決算額
2022,財政調整基金,"5,664",決算額
2022,その他基金,"1,371",決算額
2022,合計,"21,534",決算額
2023,３シティ基金に類する基金,"15,139",補正後
2023,財政調整基金,"6,001",補正後
2023,その他基金,"1,364",補正後
2023,合計,"22,505",補正後
2024,３シティ基金に類する基金,"8,607",当初予算額
2024,財政調整基金,"6,003",当初予算額
2024,その他基金,"1,203",当初予算額
2024,合計,"15,813",当初予算額
