年度,財源確保額（億円）
2007,2
2008,1
2009,36
2010,200
2011,210
2012,220
2013,230
2014,260
2015,410
2016,300
2017,720
2018,870
2019,900
2020,"1,030"
2021,"1,110"
2022,"1,117"
2023,"1,141"
2024,"1,266"
