区分,２０ｔ以上,１０ｔ以上,４ｔ以上,１ｔ以上,１ｔ未満,計
蔬菜,11,131,189,84,16,431
果物,2,69,20,6,0,97
加工,0,3,37,6,1,50
混載,8,66,79,7,0,160
合計,21,269,325,106,17,738
