区分,台数／店（台数）,トップ１０／平均,構成比（％）,経費／店／月（円）,トップ１０／平均
ターレ,7.6,2.22,54.3,101333,2.22
小車,1.3,1.02,9.3,10833,1.02
軽自動車,0.5,1.20,3.6,6667,1.20
普通自動車,2.5,1.54,17.9,62500,1.54
トラック（常温車）,1.8,2.30,12.9,90000,2.30
トラック（冷蔵車）,0.3,5.50,2.1,20000,5.50
合計,14.0,1.85,100.0,291333,2.01
