区分,金額／店（千円）,トップ１０／平均,構成比（％）
宅配,763990,2.68,74.2
駐車場（通勤）,115025,1.53,11.2
駐車場（配送）,148528,2.57,14.4
駐車場（顧客）,1800,0.65,0.2
合計,1029343,2.45,100.0
