区分,金額／店,トップ１０／平均,構成比（％）
店頭,347277,2.31,2.3
買荷,2594378,5.66,17.1
共同,4134226,21.43,27.3
スーパー,3540672,13.24,23.4
一般,643015,6.22,4.2
運送,1798510,13.59,11.9
自社,1255239,8.09,8.3
その他,826084,18.79,5.5
合計,15139401,10.07,100.0
