測定日１,測定日２,時刻,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－７（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－７（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－７（Ａ．Ｐ＋ｍ）
3月27日,月,9:00,2.26,2.32,2.51,2.43,2.34,2.35,3.14,3.34,3.49,2.78,2.42,2.66,2.34,2.58,2.96,3.07,2.66,2.26,2.50,1.65,2.31
3月27日,月,17:00,2.26,2.34,2.52,2.43,2.34,2.36,3.15,3.37,3.49,2.80,2.45,2.69,2.37,2.58,2.97,3.13,2.68,2.34,2.60,1.68,2.32
3月28日,火,9:00,2.25,2.38,2.52,2.46,2.35,2.37,3.15,3.40,3.45,2.80,2.44,2.64,2.41,2.56,2.97,3.09,2.68,2.43,2.65,1.68,2.30
3月28日,火,17:00,2.25,2.42,2.52,2.50,2.36,2.37,3.16,3.43,3.46,2.80,2.46,2.67,2.41,2.57,2.98,3.10,2.71,2.46,2.66,1.70,2.31
3月29日,水,9:00,2.25,2.42,2.52,2.52,2.38,2.39,3.15,3.45,3.45,2.81,2.44,2.65,2.40,2.57,2.97,3.06,2.71,2.37,2.66,1.69,2.30
3月29日,水,17:00,2.26,2.43,2.53,2.55,2.39,2.40,3.16,3.46,3.47,2.80,2.46,2.69,2.40,2.58,2.98,3.07,2.73,2.33,2.67,1.70,2.32
3月30日,木,9:00,2.26,2.44,2.54,2.57,2.40,2.42,3.16,3.48,3.49,2.83,2.46,2.69,2.40,2.59,2.99,3.07,2.74,2.33,2.65,1.70,2.33
3月30日,木,17:00,2.27,2.47,2.56,2.61,2.42,2.43,3.17,3.50,3.53,2.84,2.49,2.75,2.42,2.60,3.00,3.11,2.78,2.36,2.67,1.72,2.35
3月31日,金,9:00,2.27,2.45,2.57,2.58,2.45,2.45,3.19,3.49,3.52,2.86,2.47,2.71,2.41,2.61,3.01,3.06,2.78,2.34,2.65,1.73,2.34
3月31日,金,17:00,2.28,2.44,2.58,2.58,2.46,2.45,3.20,3.48,3.53,2.85,2.46,2.70,2.40,2.62,3.01,3.05,2.78,2.34,2.64,1.73,2.34
