区分１,区分２,流通圏,１人当たり年間需要量２１（基準年度）（ｋｇ・本・鉢）,１人当たり年間需要量２７（目標年度）（ｋｇ・本・鉢）,需要人口２１（基準年度）（万人）,需要人口２７（目標年度）（万人）,流通圏需要量２１（基準年度）,流通圏需要量２７（目標年度）（トン・千本・千鉢）,卸売市場取扱量２１（基準年度）（トン・千本・千鉢）,卸売市場取扱量２１（基準年度）中央卸売市場分（トン・千本・千鉢）,卸売市場取扱量２７（目標年度）（トン・千本・千鉢）,卸売市場取扱量２７（目標年度）中央卸売市場分（トン・千本・千鉢）,卸売市場取扱量うち都内供給量（都外搬出量・都内転送量を除いた量）２１（基準年度）（トン・千本・千鉢）,卸売市場取扱量うち都内供給量（都外搬出量・都内転送量を除いた量）２１（基準年度）中央卸売市場分（トン・千本・千鉢）,卸売市場取扱量うち都内供給量（都外搬出量・都内転送量を除いた量）２７（目標年度）（トン・千本・千鉢）,卸売市場取扱量うち都内供給量（都外搬出量・都内転送量を除いた量）２７（目標年度）中央卸売市場分（トン・千本・千鉢）,備考（目標年度における都内供給率）（％）
青果物,野菜,都内全域,89.0,83.5,1381,1394,1229387,1163712,1932995,1584169,1947755,1615315,1033494,757797,1047926,788917,90.1
青果物,果実,都内全域,35.1,34.8,※,※,484848,484996,661493,533924,636644,519097,332998,236141,327792,239636,67.6
水産物,,都内全域,48.7,43.8,※,※,672709,610426,589419,587638,683509,681751,218117,216418,268317,266629,44.0
食肉,,都内全域,27.6,27.4,※,※,381248,381865,83354,83354,111263,111263,36426,36426,51626,51626,13.5
花き,切花,都内全域,81.9,77.7,1546,1565,1266174,1216005,1456301,1312713,1420612,1290798,705403,610086,720316,634019,59.2
花き,鉢物,都内全域,4.0,4.4,※,※,61840,68860,81807,70270,71444,61439,42161,31492,36581,27301,53.1
