出荷制限品目１,出荷制限品目２,出荷自粛地域
青果物,みょうが（野生）,栃木県／大田原市
青果物,柿,南相馬市（福島第一原子力発電所から半径２０ｋｍ圏内の区域並びに旧計画的避難区域（平成２４年４月１６日から帰還困難区域、居住制限区域及び避難指示解除準備区域に設定）に限る）
青果物,びわ,南相馬市（福島第一原子力発電所から半径２０ｋｍ圏内の区域並びに旧計画的避難区域（平成２４年４月１６日から帰還困難区域、居住制限区域及び避難指示解除準備区域に設定）に限る）
青果物,アケビ,福島県／伊達市
青果物,うわばみそう（みず）（野生）,岩手県／一関市
青果物,うわばみそう（みず）（野生）,栃木県／那須塩原市及び日光市（旧日光市及び旧今市市地域に限る）
青果物,くさそてつ（こごみ）（野生）,岩手県／陸前高田市
青果物,くさそてつ（こごみ）（野生）,長野県／軽井沢町
青果物,くるみ,福島県／南相馬市
青果物,こしあぶら,山形県／最上町
青果物,こしあぶら,福島県／楢葉町、浪江町、双葉町、大熊町、富岡町及び飯舘村
青果物,こしあぶら,新潟県／津南町
青果物,こしあぶら（野生）,群馬県／みなかみ町
青果物,さんしょう（野生）,岩手県／奥州市
青果物,さんしょう（野生）,福島県／いわき市
青果物,ぜんまい,長野県／軽井沢町
青果物,たけのこ,福島県／富岡町、大熊町、双葉町、浪江町及び飯舘村
青果物,たけのこ,茨城県／牛久市
青果物,たけのこ,群馬県／みなかみ町
青果物,たけのこ（野生）,群馬県／渋川市（旧渋川市、旧小野上村）、みなかみ町
青果物,たらのめ,長野県／軽井沢町
青果物,たらのめ（野生）,岩手県／一関市
青果物,たらのめ（野生）,福島県／楢葉町、富岡町、大熊町、双葉町、浪江町及び飯舘村
青果物,たらのめ（野生）,茨城県／笠間市
青果物,たらのめ（野生）,群馬県／高崎市の旧倉渕村地内
青果物,たらのめ（野生）,栃木県／市貝町
青果物,ねまがりだけ（野生）,秋田県／湯沢市
青果物,ねまがりだけ（野生）,福島県／猪苗代町
青果物,もみじがさ（しどけ）（野生）,栃木県／矢板市
青果物,ヤマグリ（野生）,栃木県／矢板市
青果物,わらび（野生）,宮城県／大崎市
青果物,原木シイタケ（施設栽培）,宮城県／大衡村
青果物,原木シイタケ（施設栽培）,茨城県／高萩市及び城里町
青果物,原木シイタケ（施設栽培）,茨城県／日立市、石岡市、かすみがうら市、笠間市（ただし、県の「チェックシート」に即した栽培管理により生産した「原木しいたけ（施設栽培）」が基準値を安定的に下回ることが確認された生産者を除く。）
青果物,原木シイタケ（施設栽培）,栃木県／那珂川町
青果物,原木シイタケ（施設栽培）,栃木県／鹿沼市、日光市、大田原市（ただし、県が指示する条件の下、安全が確認された生産者を除く。）
青果物,原木シイタケ（露地）,茨城県／水戸市、桜川市
青果物,原木シイタケ（露地）,栃木県／佐野市、鹿沼市、真岡市、益子市、茂木町、市貝町、芳賀町、那須烏山市、那珂川町（ただし、県が指示する条件の下、安全が確認された生産者を除く。）
青果物,原木シイタケ（露地）,千葉県／大網白里町、いずみ市、木更津市
青果物,原木シイタケ（露地）,千葉県／成田市（ただし、県が定める管理計画に基づき管理されたものを除く。）
青果物,原木シイタケ（露地）,神奈川県／真鶴町
青果物,原木なめこ（露地）,宮城県／気仙沼市（ただし、県が指示する条件の下、安全が確認された生産者を除く。）
青果物,原木なめこ（露地）,群馬県／藤岡市
青果物,原木ひらたけ（露地）,岩手県／奥州市
青果物,原木ブナハリタケ（露地）,岩手県／一関市
青果物,原木むきたけ,岩手県／一関市
青果物,原木むきたけ,宮城県／栗原市
青果物,乾シイタケ,茨城県／日立市、常陸太田市、常陸大宮市、笠間市、城里町
青果物,乾シイタケ,静岡県／伊豆市（伊豆市内で平成２３年３月１１日から平成２３年９月３０日までの間に、旧修善寺町及び旧中伊豆町において収穫し加工されたものに限る。）、伊東市（平成２３年３月１１日以降に伊東市において収穫し、加工されたものに限る。）
青果物,乾シイタケ（原木栽培）,岩手県／（２３年産）奥州市、一関市、大船渡市及び平泉町／（２４年春産）奥州市、金ヶ崎町、花巻市、北上市、遠野市、一関市、釜石市、大槌町、大船渡市、陸前高田市、住田町及び山田町
青果物,乾シイタケ（原木栽培）,栃木県／（原木露地栽培）矢板市、高根沢町、鹿沼市、塩谷町、真岡市、益子町、那須塩原市、下野市（旧南河内町）、那須町、壬生町、足利市／（原木露地栽培）／茂木町、芳賀町、市貝町、大田原市、那珂川町、日光市、栃木市、宇都宮市、那須烏山市、さくら市（ただし、県が指示する条件の下、安全が確認できた生産者を除く。）／（原木施設栽培）／塩谷町、真岡市、茂木町、市貝町、益子町、那須烏山市、下野市（旧南河内町）、壬生町／（原木施設栽培）／矢板市、佐野市、さくら市、芳賀町、大田原市、那須塩原市、那珂川町、那須町、日光市、鹿沼市（ただし、県が指示する条件の下、安全が確認できた生産者を除く。）
青果物,乾シイタケ（原木栽培）,群馬県／高崎市、沼田市、渋川市、富岡市、中之条町、東吾妻町、みなかみ町、高山村
青果物,野生きのこ,新潟県／湯沢町
青果物,野生きのこ（菌根菌類）,茨城県／高萩市
青果物,うるい（野生）,福島県／郡山市
青果物,トウガラシ,福島県／浪江町
青果物,うめ,福島県／川俣町（山木屋の区域に限る）
青果物,ゆず,福島県／川俣町（山木屋の区域に限る）
青果物,ギンナン,福島県／南相馬市（旧原町市の区域に限る）、川俣町（山木屋の区域に限る）
青果物,クリ,福島県／川俣町
,イワナ（養殖を除く）（採捕の自粛）,宮城県／名取川、宍戸川、本砂金川
,イワナ（養殖を除く）（採捕の自粛）,群馬県／赤城大沼
,コイ（採捕の自粛）,群馬県／赤城大沼
,コイ（出荷の自粛）,千葉県／手賀沼及びこれに流入する河川（支流を含む）並びに手賀川（支流を含む）
,ドジョウ（養殖）（出荷の自粛）,福島県／郡山市
,ホンモロコ（養殖）（出荷の自粛）,福島県／川内村
,モクズガニ（採捕の自粛）,福島県／真野川本流及び支流
,モツゴ（出荷の自粛）,千葉県／手賀沼
,ヤマメ（天然）（捕獲の自粛）,群馬県／赤城大沼
,ニジマス（捕獲の自粛）,栃木県／中禅寺湖及び流入河川
,ブラウントラウト（捕獲の自粛）,栃木県／中禅寺湖及び流入河川
,ウグイ（捕獲の自粛）,群馬県／赤城大沼
,ギンブナ（出荷の自粛）,千葉県／手賀沼及びこれに流入する河川（支流を含む）並びに手賀川（支流を含む）
,ウナギ（出荷の自粛）,千葉県／利根川のうち境大橋の下流（支流を含む。ただし、印旛排水機場及び印旛水門の上流、両総用水第一揚水機場の下流、八筋川、与田浦並びに与田浦川を除く。）
