区分,売上高対営業利益率（％）９７,売上高対営業利益率（％）９８,売上高対営業利益率（％）９９,販売・管理費比率（％）９７,販売・管理費比率（％）９８,販売・管理費比率（％）９９,売上高対人件費率（％）９７,売上高対人件費率（％）９８,売上高対人件費率（％）９９
卸売業総平均,1.7,1.6,1.6,18.6,19.0,20.4,7.5,7.2,7.2
飲食料品卸売業,1.4,1.3,1.4,16.9,17.6,19.6,5.2,5.2,5.8
小売業総平均,4.5,4.3,4.3,33.1,33.4,34.7,14.0,14.1,14.4
飲食料品小売業,4.3,4.6,4.5,29.7,28.9,31.2,14.9,14.1,14.8
