出荷制限品目１,出荷制限品目２,出荷制限地域
青果物,アブラナ科の花蕾類（ブロッコリー、カリフラワー等）,福島県／南相馬市（平成２４年３月３０日付け指示により設置された帰還困難区域に限る。）、富岡町（平成２５年３月７日付け指示により設置された帰還困難区域に限る。）、大熊町（平成２４年１１月３０日付け指示により設置された帰還困難区域に限る。）、双葉町、浪江町（平成２５年３月７日／付け指示により設置された帰還困難区域に限る。）、葛尾村（平成２４年３月３０日付け指示により設置された帰還困難区域に限る。）及び飯舘村（平成２４年６月１５日付け指示により設置された帰還困難区域に限る。）
青果物,カブ（こかぶ、赤かぶ、聖護院かぶ等）,福島県／南相馬市（平成２４年３月３０日付け指示により設置された帰還困難区域に限る。）、富岡町（平成２５年３月７日付け指示により設置された帰還困難区域に限る。）、大熊町（平成２４年１１月３０日付け指示により設置された帰還困難区域に限る。）、双葉町、浪江町（平成２５年３月７日／付け指示により設置された帰還困難区域に限る。）、葛尾村（平成２４年３月３０日付け指示により設置された帰還困難区域に限る。）及び飯舘村（平成２４年６月１５日付け指示により設置された帰還困難区域に限る。）
青果物,結球性葉菜類（キャベツ、はくさい、結球レタス、芽キャベツ等）,福島県／南相馬市（平成２４年３月３０日付け指示により設置された帰還困難区域に限る。）、富岡町（平成２５年３月７日付け指示により設置された帰還困難区域に限る。）、大熊町（平成２４年１１月３０日付け指示により設置された帰還困難区域に限る。）、双葉町、浪江町（平成２５年３月７日／付け指示により設置された帰還困難区域に限る。）、葛尾村（平成２４年３月３０日付け指示により設置された帰還困難区域に限る。）及び飯舘村（平成２４年６月１５日付け指示により設置された帰還困難区域に限る。）
青果物,非結球性葉菜類（ホウレンソウ、コマツナ、カキナ、シュンギク、チンゲンサイ、サンチュ等）,福島県／南相馬市（平成２４年３月３０日付け指示により設置された帰還困難区域に限る。）、富岡町（平成２５年３月７日付け指示により設置された帰還困難区域に限る。）、大熊町（平成２４年１１月３０日付け指示により設置された帰還困難区域に限る。）、双葉町、浪江町（平成２５年３月７日／付け指示により設置された帰還困難区域に限る。）、葛尾村（平成２４年３月３０日付け指示により設置された帰還困難区域に限る。）及び飯舘村（平成２４年６月１５日付け指示により設置された帰還困難区域に限る。）
青果物,ウメ,福島県／南相馬市（福島第一原子力発電所から半径２０キロメートル圏内の区域並びに原町区高倉字助常、原町区高倉字吹屋峠、原町区高倉字七曲、原町区高倉字森、原町区高倉字枯木森、原町区馬場字五台山、原町区馬場字横川、原町区馬場字薬師岳、原町区片倉字行津及び原町区大原字和田城の区域に限る。）
青果物,キウイフルーツ,福島県／南相馬市（福島第一原子力発電所から半径２０キロメートル圏内の区域並びに原町区高倉字助常、原町区高倉字吹屋峠、原町区高倉字七曲、原町区高倉字森、原町区高倉字枯木森、原町区馬場字五台山、原町区馬場字横川、原町区馬場字薬師岳、原町区片倉字行津及び原町区大原字和田城の区域に限る。）
青果物,クリ,福島県／伊達市及び南相馬市
青果物,クリ,栃木県／那須町
青果物,ゆず,福島県／福島市、南相馬市
青果物,うど（野生）,福島県／須賀川市、相馬市、広野町、楢葉町、川内村及び葛尾村
