区分,平均（円、％）,トップ１０（円、％）,トップ１０／平均（倍率）
仕入額,1497444,15139401,10.11
配送経費,46071,241326,5.24
配送回数,31,103,3.36
仕入配送経費率,3.1,1.6,0.52
