区分,金額／店,トップ１０／平均,構成比（％）
大物,2943943,8.52,19.4
遠海,2033172,13.35,13.4
近海,1466389,7.70,9.7
特殊,3698190,10.20,24.4
海老,377221,6.71,2.5
蛸,48044,3.51,0.3
遠洋,1319828,16.02,8.7
北洋,1976222,16.62,13.1
合物,465005,8.06,3.1
燻製,594554,9.20,3.9
佃煮,216834,3.59,1.4
合計,15139401,10.06,100.0
