区分１,区分２,金額／構成比（円）,トップ１０／平均,構成比（％）
果実,一般,1863586,4.39,42.1
果実,輸入,195657,2.97,4.4
野菜,一般,2235986,2.41,50.5
野菜,土物,97441,0.91,2.2
その他,,37410,0.57,0.8
合計,,4430079,2.78,100.0
