箇所,物質,４回,５回,６回,９回
Ｂ１１－５,ベンゼン,（０．００８）→不検出,０．００１→不検出,,0.012
Ｂ１１－５,シアン,（不検出）→不検出,（不検出）→不検出,,0.6
Ｃ１０－５,ベンゼン,,（不検出）→０．００２,,0.001
Ｃ１０－５,シアン,,（不検出）→不検出,,0.2
Ｃ１１－５,ベンゼン,（０．００９）→不検出,（０．１６）→（不検出）→不検出,,0.074
Ｃ１１－５,シアン,（不検出）→不検出,（不検出）→（不検出）→不検出,,0.6
Ｃ１２－５,ベンゼン,,（０．００２）→０．００２,,0.008
Ｃ１２－５,シアン,,（不検出）→不検出,,不検出
Ｃ１２－５,ヒ素,,（０．００２）→不検出,,0.005
Ｃ１３－２,ベンゼン,,（０．０１３）→（不検出）→不検出,,0.001
Ｃ１３－２,シアン,,（不検出）→（不検出）→不検出,,不検出
Ｃ１３－２,ヒ素,,（０．００４）→（不検出）→不検出,,0.003
Ｃ２０－５,シアン,,,（不検出）→不検出,不検出
Ｄ６－５,ベンゼン,（０．００８）→不検出,,,0.035
Ｄ６－５,シアン,（不検出）→不検出,,,不検出
Ｄ１１－５,ベンゼン,,（０．０１）→（不検出）→不検出,,0.23
Ｄ１１－５,シアン,,（不検出）→（不検出）→不検出,,1.0
Ｄ１１－５,ヒ素,,（不検出）→（不検出）→不検出,,0.015
Ｄ１２－５,ベンゼン,,（不検出）→不検出,,0.14
Ｄ１２－５,シアン,,（不検出）→不検出,,0.7
Ｄ１２－５,ヒ素,,（不検出）→不検出,,0.021
Ｄ２０－８,ベンゼン,,,（０．００１）→不検出,0.012
Ｅ２０－７,ベンゼン,,,（０．０１６）→不検出,0.082
Ｆ９－９,ベンゼン,（０．００８）→不検出,,,0.10
Ｆ９－９,シアン,（不検出）→不検出,,,0.2
