区分,台数／店（台数）,構成比（％）,経費／店／月（円）
ターレ,3.4,45.2,45576
小車,1.3,16.8,10606
軽自動車,0.4,5.5,5576
普通自動車,1.6,21.4,40455
トラック（常温車）,0.8,10.3,39091
トラック（冷蔵車）,0.1,0.7,3636
合計,7.6,100.0,144939
