区分１,区分２,金額／店（円）,トップ１０／平均,構成比（％）
卸が配送,,5260725,11.14,39.6
自社引取り,仲卸,7269789,9.19,54.9
自社引取り,その他,735367,10.74,5.5
合計,,13292880,9.96,100.0
