区分,金額／店（円）,トップ１０／平均,構成比（％）
店頭持帰り,43403,0.29,3.1
仕分調整搬出,201525,1.26,14.4
直接自社搬出,630557,2.46,45.1
直接売参駐車場,521213,2.33,37.3
合計,1396697,1.76,100.0
