区分,平均（円、％）,トップ１０（円、％）,トップ１０／平均（倍率）
仕入額,1591445,4430079,2.78
配達経費,96855,220674,2.28
配送回数,88,134,1.52
仕入配送経費率,6.1,5.0,0.82
