区分１,区分２,＠人件費,人数・人件費／店
従業員,人数（人）,,4.1
従業員,人件費（円）,299869,1217703
アルバイト,人数（人）,,1.3
アルバイト,人件費（円）,198296,250787
要員計,人数（人）,,5.3
要員計,人件費（円）,275747,1468490
