街区,調査地点,試料採取日,ベンゼンｍｇ／Ｌ（０．０１）,シアンｍｇ／Ｌ（不検出）,ヒ素ｍｇ／Ｌ（０．０１）,水銀ｍｇ／Ｌ（０．０００５）,鉛ｍｇ／Ｌ（０．０１）,備考
５街区,Ｉ２９－４,2016/12/1,0.027,-,-,-,-,
５街区,Ｉ３３－６,2016/12/1,-,-,-,-,不検出,
５街区,Ｉ３４－５,2016/11/24,不検出,-,-,-,-,
５街区,Ｉ４０－８,2016/11/24,0.001,-,-,-,-,
５街区,Ｊ２８－２,2016/12/1,不検出,-,-,-,-,
５街区,Ｊ２９－４,2016/12/2,不検出,-,-,-,-,
５街区,Ｊ３２－７,2016/11/24,不検出,-,-,-,-,
５街区,Ｊ３３－９,2016/11/29,0.004,不検出,-,-,-,
５街区,Ｊ３５－６,2016/11/29,0.029,不検出,-,-,-,
５街区,Ｊ３６－６,2016/11/29,0.016,不検出,-,-,-,
５街区,Ｊ３７－６,2016/11/29,0.003,-,-,-,-,
５街区,Ｊ３９－５,2016/12/6,0.031,-,-,-,-,
５街区,Ｋ２８－６,2016/12/1,0.096,-,-,-,-,
５街区,Ｋ２９－６,2016/12/1,0.019,不検出,-,-,-,
５街区,Ｋ３０－６,2016/12/1,0.017,-,-,-,-,
５街区,Ｋ３１－５,2016/11/29,0.009,-,-,-,-,
５街区,Ｋ３２－８,2016/11/24,0.039,-,-,-,-,
５街区,Ｋ３６－４,2016/11/21,0.009,-,-,-,-,
５街区,Ｋ３７－４,2016/11/21,0.79,-,-,-,-,
５街区,Ｋ４０－３,2016/11/29,0.002,-,-,-,-,
５街区,Ｋ４０－４,2016/11/21,0.011,-,-,-,-,
５街区,Ｌ２８－９,2016/12/1,不検出,-,-,-,-,
５街区,Ｌ３０－１,2016/12/1,0.022,-,-,-,-,
５街区,Ｌ３１－１,2016/11/24,0.031,-,-,-,-,
５街区,Ｌ３４－４,2016/11/24,0.001,不検出,-,-,-,
５街区,Ｌ３５－４,2016/11/24,0.001,-,-,-,-,
５街区,Ｌ３６－４,2016/11/24,0.001,-,0.004,-,-,
５街区,Ｌ３７－４,2016/11/21,0.016,-,-,-,-,
５街区,Ｌ３８－４,2016/11/21,0.001,-,-,-,-,
５街区,Ｌ３９－３,2016/11/21,0.063,-,-,-,-,
５街区,Ｌ３９－４,2016/11/29,0.003,-,-,-,-,
５街区,Ｌ４０－７,2016/11/21,0.004,-,-,-,-,
５街区,Ｌ４１－４,2016/11/21,0.001,-,-,-,-,
５街区,Ｍ２９－２,2016/11/24,不検出,-,-,-,-,
５街区,Ｍ３１－２,2016/11/21,-,-,0.038,-,-,
５街区,Ｍ３４－１,2016/11/24,0.002,-,-,-,-,
５街区,Ｍ３５－４,2016/11/29,0.001,不検出,-,-,-,
５街区,Ｍ３６－４,2016/11/24,0.001,-,-,-,-,
