区分,～２０％（％）,～４０％（％）,～６０％（％）,～８０％（％）,～１００％（％）,～１２０％（％）,～１５０％（％）,～１８０％（％）,～２００％（％）,それ以上（％）,無回答（％）
全体（ｎ＝１１４１）,4.4,2.4,9.6,14.0,17.1,11.1,7.5,0.7,1.5,0.5,31.2
専門小売店・青果（ｎ＝２４３）,5.3,2.5,9.5,18.1,18.9,13.6,9.1,1.6,0.4,0.4,20.6
専門小売店・水産（ｎ＝１９７）,7.1,1.5,15.2,14.2,11.7,4.1,2.5,-,-,-,43.7
専門量販店・スーパー等（ｎ＝１７１）,3.5,0.6,6.4,11.1,19.3,19.3,14.0,2.3,3.5,-,19.9
飲食業（ｎ＝４２２）,3.3,2.8,8.3,13.0,19.4,7.8,6.6,-,1.9,0.9,35.8
その他（ｎ＝２４）,-,4.2,-,8.3,16.7,8.3,16.7,-,8.3,4.2,33.3
無回答（ｎ＝８４）,3.6,4.8,11.9,14.3,8.3,21.4,3.6,-,-,-,32.1
