区分,金額／店（円）,トップ１０／平均,構成比（％）
仲卸店舗,1120376,1.77,37.6
仕分調整搬出,467829,2.52,15.7
直接自社搬出,623783,4.14,21.0
直接売参駐車場,764261,4.59,25.7
合計,2976249,2.62,100.0
