調査日１回目,調査日２回目,街区,調査地点,位置,番号,表の見方,ベンゼン地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）１回目,ベンゼン地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）２回目,シアン地下水基準不検出（定量下限値０．１ｍｇ／Ｌ）１回目,シアン地下水基準不検出（定量下限値０．１ｍｇ／Ｌ）２回目,ヒ素地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）１回目,ヒ素地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）２回目
1月30日,2月13日,５街区,Ｐ４１－５,屋外,１,９回結果,,,0.1,※,,
1月30日,2月13日,５街区,Ｐ４１－５,屋外,１,環境管理センター,,,0.1,0.1,,
1月30日,2月13日,５街区,Ｐ４１－５,屋外,１,（都）環境科学研究所,,,-,-,,
1月30日,2月13日,５街区,Ｐ４１－５,屋外,１,ユーロフィン,,,0.1,0.1,,
1月30日,2月13日,５街区,Ｐ４１－５,屋外,１,湘南分析センター,,,0.1,0.1,,
1月31日,2月15日,５街区,Ｋ３７－４,マンホール内,２,９回結果,0.79,※,,,,
1月31日,2月15日,５街区,Ｋ３７－４,マンホール内,２,環境管理センター,0.99,1.0,,,,
1月31日,2月15日,５街区,Ｋ３７－４,マンホール内,２,（都）環境科学研究所,0.94,0.91,,,,
1月31日,2月15日,５街区,Ｋ３７－４,マンホール内,２,ユーロフィン,0.82,0.99,,,,
1月31日,2月15日,５街区,Ｋ３７－４,マンホール内,２,湘南分析センター,0.80,0.87,,,,
ポンプ入らず,2月16日,６街区,Ｃ２６－７,先客エリア,３,９回結果,,,1.2,※,,
ポンプ入らず,2月16日,６街区,Ｃ２６－７,先客エリア,３,環境管理センター,,,-,0.3,,
ポンプ入らず,2月16日,６街区,Ｃ２６－７,先客エリア,３,（都）環境科学研究所,,,-,0.4,,
ポンプ入らず,2月16日,６街区,Ｃ２６－７,先客エリア,３,ユーロフィン,,,-,0.4,,
ポンプ入らず,2月16日,６街区,Ｃ２６－７,先客エリア,３,湘南分析センター,,,-,0.4,,
2月1日,2月15日,７街区,Ｍ５－２,屋外,４,９回結果,不検出,不検出,不検出,不検出,0.002,※
2月1日,2月15日,７街区,Ｍ５－２,屋外,４,環境管理センター,0.003,0.003,不検出,不検出,0.007,0.007
2月1日,2月15日,７街区,Ｍ５－２,屋外,４,（都）環境科学研究所,0.003,0.003,不検出,不検出,0.007,0.006
2月1日,2月15日,７街区,Ｍ５－２,屋外,４,ユーロフィン,0.003,0.003,不検出,不検出,0.007,0.007
2月1日,2月15日,７街区,Ｍ５－２,屋外,４,湘南分析センター,0.002,0.003,不検出,不検出,0.007,0.007
2月8日,2月23日,７街区,Ｉ２４－３,屋外,５,９回結果,0.011,※,不検出,不検出,,
2月8日,2月23日,７街区,Ｉ２４－３,屋外,５,環境管理センター,0.036,0.050,不検出,不検出,,
2月8日,2月23日,７街区,Ｉ２４－３,屋外,５,（都）環境科学研究所,-,-,-,-,,
2月8日,2月23日,７街区,Ｉ２４－３,屋外,５,ユーロフィン,0.042,0.056,不検出,不検出,,
2月8日,2月23日,７街区,Ｉ２４－３,屋外,５,湘南分析センター,0.027,0.044,不検出,不検出,,
2月1日,2月15日,６街区,Ｂ１１－５,地下ピット内,６,９回結果,0.012,※,0.6,※,,
2月1日,2月15日,６街区,Ｂ１１－５,地下ピット内,６,環境管理センター,0.060,0.059,0.7,0.9,,
2月1日,2月15日,６街区,Ｂ１１－５,地下ピット内,６,（都）環境科学研究所,0.061,0.053,0.9,1.3,,
2月1日,2月15日,６街区,Ｂ１１－５,地下ピット内,６,ユーロフィン,0.069,0.065,0.8,0.9,,
2月1日,2月15日,６街区,Ｂ１１－５,地下ピット内,６,湘南分析センター,0.048,0.050,0.9,1.0,,
2月1日,2月15日,６街区,、,地下ピット内,７,９回結果,0.23,※,1.0,※,0.015,※
2月1日,2月15日,６街区,、,地下ピット内,７,環境管理センター,0.27,0.27,0.8,0.9,0.018,0.016
