区分,金額／店（円）,トップ１０／平均,構成比（％）
一般小売店,1600050,2.91,36.1
専門量販店,122094,5.01,2.8
大手スーパー,68008,5.60,1.5
中小スーパー,1174900,4.05,26.5
料飲チェーン,104718,1.38,2.4
その他料飲店,388708,1.40,7.6
納入業者,604698,3.61,13.6
問屋,10000,1.20,0.2
仲卸,193326,2.10,4.4
その他,213577,1.66,4.8
合計,4430079,2.78,100.0
