箇所,物質,４回,９回
Ｉ１８－６,ヒ素,（０．００８）→０．００２,0.006
Ｊ７－５,シアン,（０．１５）→不検出,0.4
Ｌ７－６,ベンゼン,（０．０１４）→不検出,0.009
Ｌ１５－５,ヒ素,（０．００９）→０．００２,0.008
Ｍ８－１,シアン,（０．２５）→不検出,0.3
Ｎ２２－１,ヒ素,（０．００９）→０．００２,0.013
Ｎ２４－９,ヒ素,（０．０５２）→０．００２,不検出
Ｏ２３－４,ヒ素,（０．０８３）→０．００２,0.003
Ｐ２１－３,ベンゼン,（０．００８）→不検出,0.008
Ｐ２１－３,ヒ素,（０．００４）→０．００２,0.026
Ｐ２２－３,ヒ素,（０．００８）→不検出,0.009
