区分１,区分２,品揃え（％）,鮮度（％）,価格（％）,衛生面（％）,仕入れやすさ（％）,その他（％）,無回答（％）
※,全体（ｎ＝１１４１）,3.2,3.3,22.0,43.4,12.8,10.3,27.6
業種,専門小売店・青果（ｎ＝２４３）,7.0,5.8,18.9,41.6,13.6,9.5,21.8
業種,専門小売店・水産（ｎ＝１９７）,0.5,1.0,16.8,53.8,7.1,6.1,34.0
業種,専門量販店・スーパー等（ｎ＝１７１）,2.9,6.4,27.5,49.1,18.1,14.6,15.2
業種,飲食業（ｎ＝４２２）,1.4,2.1,24.6,40.5,13.0,9.7,32.7
業種,その他（ｎ＝２４）,16.7,4.2,25.0,33.3,8.3,8.3,37.5
業種,無回答（ｎ＝８４）,4.8,1.2,17.9,29.8,13.1,17.9,26.2
仕入量,１０トン未満（ｎ＝６１０）,2.1,3.0,22.8,41.0,12.8,8.2,33.4
仕入量,１００トン未満（ｎ＝１６０）,1.9,3.1,25.0,45.0,7.5,8.1,30.0
仕入量,５００トン未満（ｎ＝２０４）,5.9,2.5,21.6,42.2,12.7,11.3,21.1
仕入量,５００トン以上（ｎ＝１６７）,5.4,6.0,16.8,52.1,18.0,19.2,12.0
