測定日１,測定日２,時刻,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－７（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－７（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－７（Ａ．Ｐ＋ｍ）
4月3日,月,9:00,2.30,2.45,2.62,2.62,2.52,2.48,3.21,3.56,3.54,2.91,2.47,2.71,2.41,2.66,3.04,3.08,2.81,2.39,2.74,1.74,2.37
4月3日,月,17:00,2.31,2.48,2.62,2.66,2.53,2.48,3.22,3.57,3.56,2.90,2.50,2.75,2.41,2.65,3.05,3.12,2.83,2.42,2.76,1.76,2.40
4月4日,火,9:00,2.30,2.43,2.61,2.59,2.52,2.48,3.20,3.53,3.52,2.89,2.45,2.68,2.38,2.54,3.03,3.02,2.79,2.36,2.69,1.73,2.36
4月4日,火,17:00,2.31,2.44,2.61,2.60,2.52,2.47,3.20,3.53,3.50,2.87,2.46,2.70,2.37,2.50,3.02,3.02,2.79,2.37,2.67,1.73,2.37
4月5日,水,9:00,2.29,2.43,2.59,2.60,2.51,2.47,3.19,3.51,3.49,2.88,2.44,2.67,2.36,2.44,3.00,3.00,2.77,2.36,2.64,1.72,2.36
4月5日,水,17:00,2.30,2.45,2.59,2.62,2.52,2.47,3.21,3.52,3.51,2.87,2.47,2.70,2.36,2.42,2.99,3.02,2.79,2.38,2.65,1.73,2.38
4月6日,木,9:00,2.29,2.45,2.60,2.61,2.52,2.47,3.20,3.51,3.52,2.88,2.46,2.70,2.37,2.42,2.99,3.01,2.79,2.38,2.65,1.73,2.38
4月6日,木,17:00,2.30,2.47,2.60,2.64,2.53,2.48,3.22,3.52,3.53,2.89,2.48,2.73,2.37,2.44,2.99,3.04,2.81,2.40,2.67,1.74,2.39
4月7日,金,9:00,2.31,2.49,2.62,2.65,2.56,2.49,3.24,3.53,3.57,2.91,2.50,2.75,2.39,2.47,3.01,3.06,2.84,2.42,2.69,1.76,2.41
4月7日,金,17:00,2.31,2.50,2.63,2.66,2.56,2.49,3.23,3.54,3.58,2.93,2.51,2.77,2.40,2.50,3.04,3.08,2.84,2.43,2.70,1.76,2.42
4月10日,月,9:00,2.29,2.48,2.65,2.63,2.56,2.48,3.22,3.52,3.54,2.93,2.47,2.69,2.38,2.59,3.04,3.08,2.81,2.42,2.74,1.77,2.40
4月10日,月,17:00,2.30,2.51,2.64,2.66,2.57,2.47,3.24,3.53,3.54,2.92,2.49,2.72,2.38,2.59,3.03,3.09,2.82,2.43,2.76,1.78,2.41
4月11日,火,9:00,2.31,2.57,2.63,2.72,2.59,2.48,3.25,3.55,3.58,2.92,2.50,2.75,2.41,2.60,3.04,3.13,2.86,2.47,2.79,1.79,2.44
4月11日,火,17:00,2.33,2.68,2.66,2.82,2.63,2.50,3.27,3.61,3.71,2.96,2.57,2.87,2.47,2.63,3.08,3.27,2.94,2.62,2.87,1.85,2.56
