区分,金額／店,構成比
一般小売店,281612,18.6
専門量販店,126310,8.4
大手スーパー,29771,2.0
中小スーパー,281038,18.6
料飲チェーン店,220054,14.6
その他料飲店,452848,30.0
その他,119265,7.9
合計,1510899,100.0
