区分,台数／店,トップ１０／平均,人数／平均（人）,人件費／平均（円）,トップ１０／平均（円）
従業員,420274,1.31,6.0,2521642,3.58
アルバイト,299940,1.30,2.6,779843,7.03
合計,383894,1.26,8.6,3301485,4.05
