区分１,区分２,金額／構成比（円）,構成比（％）
果実,一般,424382,26.7
果実,輸入,65749,4.1
野菜,一般,928627,58.4
野菜,土物,107109,6.7
その他,,65532,4.1
合計,,1591445,100.0
