市場名,事業内容（２３～２７）,工期等（目途）（年度）
築地市場,老朽化施設の構造調査及び補強工事,２３～２６
豊洲新市場,豊洲新市場整備（土壌汚染対策工事）,２３～２４
豊洲新市場,豊洲新市場整備（建設工事）,２４～２６
豊洲新市場,豊洲新市場整備（開場）,26
食肉市場,市場棟冷蔵庫等改修工事,２５～
食肉市場,特高受変電設備更新工事,２３～２５
食肉市場,小動物けい留所改修工事,２３～２４
大田市場,第３・第４荷捌場建替工事,２３～２６
豊島市場,国道１７号線拡幅に伴う正門等の整備,２７～
豊島市場,非常用発電機の整備,25
淀橋市場,仲卸業者売場等の整備（リニューアル事業）,２３～２５
淀橋市場,低温施設の整備,26
淀橋市場,非常用発電機の整備,26
足立市場,集出荷施設等の整備,２４～２６
板橋市場,青果部集出荷施設等の整備,２５～
世田谷市場,花き部仲卸業者売場前荷捌場の整備,２４～２５
北足立市場,青果部低温施設の整備,25
多摩ニュータウン市場,非常用発電機の整備,24
葛西市場,青果部出荷施設等の整備,２５～
葛西市場,花き部集出荷施設等の整備,２４、２６～
