測定日１,測定日２,時刻,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－７（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－７（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－７（Ａ．Ｐ＋ｍ）
5月1日,月,9:00,2.34,2.86,2.77,3.09,2.85,2.60,3.33,3.69,3.98,3.32,2.59,2.86,2.52,2.88,3.48,3.06,3.06,2.82,2.91,2.07,2.68
5月1日,月,17:00,2.34,2.85,2.77,3.08,2.85,2.59,3.34,3.68,3.96,3.29,2.59,2.85,2.52,2.85,3.46,3.05,3.06,2.81,2.90,2.07,2.68
5月2日,火,9:00,2.32,2.77,2.74,3.01,2.81,2.58,3.30,3.63,3.90,3.25,2.55,2.79,2.50,2.81,3.41,2.97,3.00,2.73,2.83,2.03,2.59
5月2日,火,17:00,2.32,2.77,2.72,3.01,2.80,2.57,3.30,3.63,3.88,3.22,2.57,2.81,2.51,2.75,3.39,2.98,2.99,2.73,2.82,2.02,2.60
5月8日,月,9:00,2.38,2.74,2.73,2.95,2.78,2.55,3.35,3.57,3.88,3.16,2.60,2.84,2.57,2.85,3.32,3.02,2.99,2.70,2.80,1.97,2.61
5月8日,月,17:00,2.39,2.77,2.73,2.98,2.77,2.55,3.36,3.59,3.90,3.16,2.64,2.89,2.58,2.86,3.34,3.05,3.00,2.72,2.81,1.99,2.64
5月9日,火,9:00,2.37,2.68,2.71,2.88,2.75,2.54,3.34,3.53,3.81,3.12,2.54,2.78,2.51,2.82,3.29,2.95,2.94,2.63,2.74,1.95,2.54
5月9日,火,17:00,2.37,2.67,2.70,2.89,2.74,2.53,3.32,3.53,3.80,3.10,2.53,2.79,2.48,2.81,3.27,2.96,2.93,2.63,2.72,1.93,2.55
5月10日,水,9:00,2.36,2.68,2.68,2.89,2.74,2.53,3.32,3.52,3.80,3.09,2.53,2.80,2.47,2.82,3.24,2.97,2.94,2.63,2.72,1.98,2.55
5月10日,水,17:00,2.36,2.71,2.69,2.93,2.74,2.53,3.32,3.53,3.83,3.09,2.54,2.83,2.48,2.83,3.25,3.02,2.96,2.67,2.74,1.94,2.59
5月11日,木,9:00,2.36,2.73,2.70,2.92,2.75,2.54,3.31,3.54,3.86,3.11,2.54,2.83,2.47,2.84,3.26,3.03,2.97,2.67,2.77,1.94,2.60
5月11日,木,17:00,2.35,2.72,2.71,2.91,2.74,2.53,3.31,3.54,3.84,3.10,2.54,2.83,2.46,2.84,3.27,3.03,2.96,2.66,2.76,1.94,2.59
5月12日,金,9:00,2.34,2.67,2.69,2.85,2.72,2.52,3.30,3.50,3.79,3.08,2.48,2.76,2.42,2.81,3.24,2.96,2.92,2.60,2.72,1.92,2.53
5月12日,金,17:00,2.33,2.66,2.69,2.85,2.71,2.51,3.28,3.50,3.78,3.06,2.48,2.76,2.40,2.80,3.23,2.97,2.91,2.60,2.70,1.91,2.53
