区分１,区分２,＠人件費（円）,トップ１０／平均,人数・人件費／店（人、円）,トップ１０／平均
従業員,人数,,,7.6,1.86
従業員,人件費,367212,1.22,2772448.2,2.28
アルバイト,人数,,,2.0,1.58
アルバイト,人件費,270518,1.36,541036.5,2.16
要員計,人数,,,9.6,1.79
要員計,人件費,346962,1.26,3313485,2.26
