測定日１,測定日２,時刻,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位５街区（青果棟）Ｎｏ．５－７（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位６街区（水産仲卸売場棟）Ｎｏ．６－７（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－１（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－２（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－３（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－４（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－５（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－６（Ａ．Ｐ＋ｍ）,観測井戸における地下水位７街区（水産卸売場棟）Ｎｏ．７－７（Ａ．Ｐ＋ｍ）
3月13日,月,9:00,2.24,2.31,2.49,2.39,2.33,2.36,3.11,3.24,3.37,2.74,2.35,2.56,2.23,2.54,2.96,2.87,2.62,2.22,2.40,1.64,2.28
3月13日,月,17:00,2.25,2.34,2.50,2.41,2.33,2.37,3.12,3.26,3.40,2.75,2.38,2.61,2.25,2.54,2.97,2.90,2.64,2.25,2.42,1.66,2.31
3月14日,火,9:00,2.26,2.36,2.51,2.43,2.35,2.38,3.13,3.27,3.43,2.78,2.39,2.62,2.27,2.56,2.98,2.94,2.67,2.27,2.45,1.67,2.32
3月14日,火,17:00,2.26,2.37,2.52,2.44,2.36,2.39,3.14,3.29,3.45,2.79,2.41,2.65,2.29,2.56,3.00,2.97,2.69,2.29,2.46,1.68,2.33
3月15日,水,9:00,2.26,2.36,2.53,2.42,2.37,2.39,3.16,3.29,3.46,2.81,2.39,2.63,2.29,2.55,3.01,2.95,2.69,2.26,2.46,1.68,2.32
3月15日,水,17:00,2.26,2.35,2.54,2.40,2.36,2.38,3.15,3.29,3.45,2.80,2.39,2.61,2.29,2.54,3.01,2.93,2.67,2.25,2.45,1.68,2.31
3月16日,木,9:00,2.24,2.31,2.52,2.36,2.33,2.36,3.10,3.27,3.41,2.78,2.35,2.56,2.26,2.53,2.98,2.87,2.61,2.21,2.41,1.64,2.28
3月16日,木,17:00,2.24,2.32,2.52,2.37,2.33,2.36,3.11,3.27,3.40,2.77,2.37,2.59,2.27,2.53,2.98,2.89,2.62,2.23,2.41,1.64,2.29
3月17日,金,9:00,2.23,2.29,2.51,2.35,2.31,2.35,3.10,3.25,3.38,2.76,2.35,2.56,2.26,2.51,2.96,2.85,2.60,2.20,2.39,1.63,2.27
3月17日,金,17:00,2.24,2.31,2.50,2.36,2.31,2.35,3.11,3.26,3.38,2.75,2.36,2.58,2.26,2.50,2.95,2.86,2.60,2.22,2.40,1.64,2.28
3月21日,火,9:00,2.25,2.32,2.49,2.37,2.30,2.34,3.11,3.25,3.41,2.75,2.39,2.60,2.29,2.52,2.93,2.90,2.62,2.23,2.40,1.63,2.29
3月21日,火,17:00,2.26,2.36,2.51,2.40,2.32,2.35,3.14,3.28,3.49,2.77,2.43,2.66,2.32,2.51,2.95,2.98,2.66,2.27,2.43,1.66,2.32
3月22日,水,9:00,2.25,2.32,2.52,2.36,2.32,2.36,3.13,3.27,3.44,2.79,2.40,2.60,2.33,2.47,2.97,2.98,2.64,2.21,2.42,1.65,2.29
3月22日,水,17:00,2.24,2.31,2.52,2.36,2.31,2.35,3.12,3.28,3.43,2.77,2.40,2.60,2.32,2.46,2.97,2.98,2.62,2.21,2.43,1.64,2.28
3月23日,木,9:00,2.24,2.28,2.51,2.37,2.30,2.34,3.10,3.28,3.39,2.76,2.38,2.57,2.30,2.47,2.95,2.95,2.60,2.20,2.44,1.62,2.27
3月23日,木,17:00,2.24,2.30,2.51,2.40,2.31,2.34,3.11,3.30,3.40,2.76,2.41,2.62,2.30,2.48,2.96,2.98,2.61,2.23,2.45,1.63,2.29
3月24日,金,9:00,2.24,2.29,2.50,2.39,2.31,2.34,3.11,3.31,3.40,2.76,2.39,2.60,2.30,2.49,2.96,2.96,2.61,2.21,2.45,1.63,2.28
3月24日,金,17:00,2.24,2.29,2.50,2.39,2.32,2.35,3.13,3.32,3.41,2.76,2.40,2.62,2.31,2.50,2.96,2.97,2.62,2.22,2.46,1.64,2.28
