区分１,区分２,品揃え（％）,鮮度（％）,価格（％）,衛生面（％）,仕入れやすさ（％）,その他（％）,無回答（％）
※,全体（ｎ＝１１４１）,74.0,33.7,11.5,3.2,37.4,4.0,12.4
業種,専門小売店・青果（ｎ＝２４３）,70.4,23.9,7.4,2.1,48.6,2.5,6.2
業種,専門小売店・水産（ｎ＝１９７）,71.6,33.5,7.6,1.0,29.9,4.1,21.8
業種,専門量販店・スーパー等（ｎ＝１７１）,84.2,22.8,12.3,1.8,29.2,1.2,5.3
業種,飲食業（ｎ＝４２２）,74.2,44.3,15.2,5.0,37.2,6.4,14.9
業種,その他（ｎ＝２４）,54.2,45.8,8.3,4.2,37.5,12.5,8.3
業種,無回答（ｎ＝８４）,73.8,27.4,13.1,6.0,40.5,-,8.3
仕入量,１０トン未満（ｎ＝６１０）,71.8,40.8,11.8,3.8,37.0,4.4,16.4
仕入量,１００トン未満（ｎ＝１６０）,73.8,28.8,11.9,3.8,36.9,6.9,11.9
仕入量,５００トン未満（ｎ＝２０４）,70.6,23.5,6.9,2.0,36.3,2.9,8.8
仕入量,５００トン以上（ｎ＝１６７）,86.2,24.6,15.6,2.4,40.7,1.2,2.4
