街区,平成２９年３月１日水（ｍ３）,平成２９年３月２日木（ｍ３）,平成２９年３月３日金（ｍ３）,平成２９年３月４日土（ｍ３）,平成２９年３月５日日（ｍ３）,平成２９年３月６日月（ｍ３）,平成２９年３月７日火（ｍ３）,平成２９年３月８日水（ｍ３）,平成２９年３月９日木（ｍ３）,平成２９年３月１０日金（ｍ３）,平成２９年３月１１日土（ｍ３）,平成２９年３月１２日日（ｍ３）,平成２９年３月１３日月（ｍ３）,平成２９年３月１４日火（ｍ３）,平成２９年３月１５日水（ｍ３）,平成２９年３月１６日木（ｍ３）,平成２９年３月１７日金（ｍ３）,平成２９年３月１８日土（ｍ３）,平成２９年３月１９日日（ｍ３）,平成２９年３月２０日月（ｍ３）,平成２９年３月２１日火（ｍ３）,平成２９年３月２２日水（ｍ３）,平成２９年３月２３日木（ｍ３）,平成２９年３月２４日金（ｍ３）,平成２９年３月２５日土（ｍ３）,平成２９年３月２６日日（ｍ３）,平成２９年３月２７日月（ｍ３）,平成２９年３月２８日火（ｍ３）,平成２９年３月２９日水（ｍ３）,平成２９年３月３０日木（ｍ３）,平成２９年３月３１日金（ｍ３）,平成２９年４月１日土（ｍ３）,平成２９年４月２日日（ｍ３）,平成２９年４月３日月（ｍ３）,平成２９年４月４日火（ｍ３）,平成２９年４月５日水（ｍ３）,平成２９年４月６日木（ｍ３）,平成２９年４月７日金（ｍ３）,平成２９年４月８日土（ｍ３）,平成２９年４月９日日（ｍ３）,平成２９年４月１０日月（ｍ３）,平成２９年４月１１日火（ｍ３）,平成２９年４月１２日水（ｍ３）,平成２９年４月１３日木（ｍ３）,平成２９年４月１４日金（ｍ３）,平成２９年４月１５日土（ｍ３）,平成２９年４月１６日日（ｍ３）,平成２９年４月１７日月（ｍ３）,平成２９年４月１８日火（ｍ３）,平成２９年４月１９日水（ｍ３）,平成２９年４月２０日木（ｍ３）,平成２９年４月２１日金（ｍ３）,平成２９年４月２２日土（ｍ３）,平成２９年４月２３日日（ｍ３）,平成２９年４月２４日月（ｍ３）,平成２９年４月２５日火（ｍ３）,平成２９年４月２６日水（ｍ３）,平成２９年４月２７日木（ｍ３）,平成２９年４月２８日金（ｍ３）,平成２９年４月２９日土（ｍ３）,平成２９年４月３０日日（ｍ３）,平成２９年５月１日月（ｍ３）,平成２９年５月２日火（ｍ３）,平成２９年５月３日水（ｍ３）,平成２９年５月４日木（ｍ３）,平成２９年５月５日金（ｍ３）,平成２９年５月６日土（ｍ３）,平成２９年５月７日日（ｍ３）,平成２９年５月８日月（ｍ３）,平成２９年５月９日火（ｍ３）,平成２９年５月１０日水（ｍ３）,平成２９年５月１１日木（ｍ３）,平成２９年５月１２日金（ｍ３）,平成２９年５月１３日土（ｍ３）,平成２９年５月１４日日（ｍ３）,平成２９年５月１５日月（ｍ３）,平成２９年５月１６日火（ｍ３）,平成２９年５月１７日水（ｍ３）,平成２９年５月１８日木（ｍ３）,平成２９年５月１９日金（ｍ３）,平成２９年５月２０日土（ｍ３）,平成２９年５月２１日日（ｍ３）,平成２９年５月２２日月（ｍ３）,平成２９年５月２３日火（ｍ３）,平成２９年５月２４日水（ｍ３）,平成２９年５月２５日木（ｍ３）,平成２９年５月２６日金（ｍ３）,平成２９年５月２７日土（ｍ３）,平成２９年５月２８日日（ｍ３）,平成２９年５月２９日月（ｍ３）,平成２９年５月３０日火（ｍ３）,平成２９年５月３１日水（ｍ３）
５街区,12.7,0.0,12.5,38.0,※,※,0.0,12.5,12.7,12.5,24.8,※,※,12.6,0.0,12.3,12.7,37.7,※,※,※,12.5,12.5,8.7,31.0,※,※,12.3,6.1,16.4,12.7,12.2,※,※,6.0,23.9,12.8,12.3,48.9,※,※,12.3,12.2,31.0,18.3,67.6,※,※,18.6,24.6,25.0,18.6,61.4,※,※,18.6,24.6,24.9,24.8,※,※,62.0,16.7,20.9,※,※,※,※,※,10.5,32.2,32.5,10.8,54.3,※,※,,,,,,,,,,,,,,,,
６街区,25.3,0.0,25.3,88.5,※,※,12.7,25.3,25.3,25.3,50.6,※,※,0.0,37.9,12.7,25.3,87.7,※,※,※,38.8,12.6,25.3,50.5,※,※,12.7,7.9,14.2,25.3,50.7,※,※,38.0,38.0,12.6,25.3,50.7,※,※,25.3,25.4,25.3,25.3,63.4,※,※,12.6,25.3,25.3,25.3,79.5,※,※,25.3,0.0,12.7,12.6,※,※,56.1,22.4,145.9,※,※,※,※,※,22.5,12.0,31.3,13.5,44.8,※,※,,,,,,,,,,,,,,,,
７街区,38.4,12.8,25.6,63.9,※,※,25.6,25.6,12.8,25.6,7.3,※,※,44.1,15.0,23.4,25.6,76.7,※,※,※,25.6,12.8,25.6,64.6,※,※,25.5,12.8,23.5,25.5,63.9,※,※,25.6,18.1,20.2,25.5,73.0,※,※,29.2,25.6,38.4,25.6,102.3,※,※,25.6,38.3,38.4,38.3,102.3,※,※,38.4,38.3,25.6,38.4,※,※,90.0,37.9,166.3,※,※,※,※,※,25.6,25.6,25.6,25.6,76.7,※,※,,,,,,,,,,,,,,,,
